Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,144.45,144.45,143.5,143.94,2135400,143.94,3M Co
9/11/14,143.99,144.38,143.6,144.35,1465400,144.35,
9/10/14,144.63,144.99,144,144.64,1558800,144.64,
9/9/14,144.7,145.26,144.25,144.46,1745400,144.46,
9/8/14,144.41,145.45,144.11,144.89,2446100,144.89,
9/5/14,143.64,144.32,143.15,144.2,1989100,144.2,
9/4/14,144.21,144.65,143.35,143.61,1549800,143.61,
9/3/14,144.47,144.72,143.55,143.82,1533600,143.82,
9/2/14,143.3,144.61,143.3,144.22,1578800,144.22,
8/29/14,144.06,144.39,143.18,144,1537800,144,
8/28/14,143.32,144.12,143.02,143.98,1314100,143.98,
8/27/14,144.43,144.86,143.63,143.94,1402200,143.94,
8/26/14,145,145.39,144.57,144.6,1808100,144.6,
8/25/14,144.66,144.99,144.42,144.7,1012900,144.7,
8/22/14,144.5,144.83,144.02,144.13,1547500,144.13,
8/21/14,144.78,144.99,144.35,144.5,1475800,144.5,
8/20/14,143.86,144.82,143.5,144.6,2298800,144.6,
8/19/14,144.47,145.01,143.81,144.25,1592500,143.4,
8/18/14,142.75,144.19,142.59,144.12,1852900,143.27,
8/15/14,142.81,142.98,141.02,141.92,1960900,141.08,
8/14/14,142,142.39,141.85,142.34,1586900,141.5,
8/13/14,141.35,141.83,140.92,141.8,3104300,140.96,
8/12/14,140.62,141.21,140.43,140.88,2176100,140.04,
8/11/14,140.93,141.5,140.54,140.58,1919100,139.75,
8/8/14,139.3,140.89,138.89,140.85,2702600,140.02,
8/7/14,140.05,140.37,138.96,139.13,1892500,138.31,
8/6/14,139.14,139.94,138.43,139.55,2679000,138.72,
8/5/14,140.62,141.12,139.34,139.78,2168500,138.95,
8/4/14,140.15,140.98,139.21,140.75,2494500,139.92,
8/1/14,140.15,141.04,139.08,140.11,2505800,139.28,
7/31/14,143.33,143.55,140.6,140.89,3571100,140.05,
7/30/14,144.26,144.78,143.52,143.74,2458400,142.89,
7/29/14,145.22,146.27,143.99,144.02,2286600,143.17,
7/28/14,144.92,145.63,143.78,145.53,2002200,144.67,
7/25/14,145.66,145.94,144.59,145.12,1601800,144.26,
7/24/14,145.51,146.43,144.47,145.13,2580000,144.27,
7/23/14,145.34,145.45,144.53,144.68,1849400,143.82,
7/22/14,144.89,145.67,144.89,145.12,1608200,144.26,
7/21/14,144.66,144.87,143.65,144.3,1520900,143.44,
7/18/14,143.83,145.06,143.54,144.83,2133000,143.97,
7/17/14,145.33,145.67,143.45,143.54,2776500,142.69,
7/16/14,145.28,146.25,145.03,146.17,1969200,145.3,
7/15/14,145,145.48,144.36,145.06,1955700,144.2,
7/14/14,144.99,145.71,144.75,145,2114600,144.14,
7/11/14,144.14,144.49,143.54,144.31,1907900,143.45,
7/10/14,143.5,144.2,143.24,143.89,2070100,143.04,
7/9/14,144.78,145.04,144.03,144.68,1521800,143.82,
7/8/14,145.22,145.4,144.48,144.56,1596700,143.7,
7/7/14,145.48,145.58,144.5,144.91,1257900,144.05,
7/3/14,145.25,145.73,145,145.41,1142200,144.55,
7/2/14,144.23,145.3,143.56,145.23,1621300,144.37,
7/1/14,143.41,144.82,143.38,144.56,1767600,143.7,
6/30/14,143.92,143.93,143.06,143.24,1878400,142.39,
6/27/14,143.17,144.07,143.06,143.69,1981800,142.84,
6/26/14,143.75,143.99,142.56,143.73,1490900,142.88,
6/25/14,143,144.38,142.88,143.65,1321800,142.8,
6/24/14,143.71,144.62,143.05,143.09,1404500,142.24,
6/23/14,145.1,145.3,144.01,144.09,1390200,143.24,
6/20/14,144.54,145.3,144.2,145.16,4204600,144.3,
6/19/14,144.53,144.72,143.99,144.49,1560500,143.63,
