Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,34.83,34.91,34.36,34.5,20210100,34.5,AT&T Inc
9/11/14,34.61,34.88,34.5,34.85,16024800,34.85,
9/10/14,34.73,34.78,34.39,34.7,17719800,34.7,
9/9/14,35.04,35.06,34.55,34.66,18782300,34.66,
9/8/14,35.12,35.12,34.9,35.01,10786300,35.01,
9/5/14,34.95,35.26,34.88,35.15,17799000,35.15,
9/4/14,34.98,35,34.82,34.94,12469500,34.94,
9/3/14,34.95,35,34.82,34.97,13026600,34.97,
9/2/14,34.93,35,34.7,34.84,12674400,34.84,
8/29/14,34.73,34.96,34.62,34.96,12709000,34.96,
8/28/14,34.66,34.75,34.56,34.74,10512800,34.74,
8/27/14,34.59,34.79,34.54,34.75,14853400,34.75,
8/26/14,34.6,34.65,34.46,34.5,14765100,34.5,
8/25/14,34.52,34.66,34.45,34.51,17305800,34.51,
8/22/14,34.56,34.63,34.35,34.5,14285400,34.5,
8/21/14,34.53,34.75,34.51,34.64,15931900,34.64,
8/20/14,34.54,34.56,34.44,34.53,12549500,34.53,
8/19/14,34.69,34.69,34.33,34.48,20467600,34.48,
8/18/14,34.87,34.9,34.57,34.65,18465500,34.65,
8/15/14,34.93,34.97,34.46,34.74,26952100,34.74,
8/14/14,34.83,34.93,34.6,34.91,14587700,34.91,
8/13/14,34.75,34.83,34.5,34.69,15950600,34.69,
8/12/14,34.58,34.7,34.48,34.64,15322900,34.64,
8/11/14,34.69,34.76,34.41,34.47,14724900,34.47,
8/8/14,34.3,34.5,34.18,34.47,18771100,34.47,
8/7/14,34.75,34.79,34.17,34.21,20749200,34.21,
8/6/14,35,35.02,34.36,34.62,35941100,34.62,
8/5/14,35.36,35.46,35.01,35.11,19505100,35.11,
8/4/14,35.37,35.53,35.2,35.46,21300200,35.46,
8/1/14,35.78,35.82,35.28,35.33,23962400,35.33,
7/31/14,36.05,36.21,35.51,35.59,34603600,35.59,
7/30/14,36.45,36.63,36.07,36.36,20446300,36.36,
7/29/14,37.43,37.48,36.46,36.59,92453000,36.59,
7/28/14,35.55,35.77,35.5,35.65,20593000,35.65,
7/25/14,35.37,35.7,35.36,35.54,18663300,35.54,
7/24/14,35.43,35.72,35.03,35.5,45151800,35.5,
7/23/14,35.9,35.96,35.8,35.88,15179800,35.88,
7/22/14,36.03,36.1,35.77,35.94,18185700,35.94,
7/21/14,36.07,36.16,35.88,35.96,20917400,35.96,
7/18/14,36.18,36.19,36,36.17,16132500,36.17,
7/17/14,36.27,36.47,35.98,36.03,19143000,36.03,
7/16/14,36.45,36.55,36.33,36.45,20223000,36.45,
7/15/14,35.95,36.35,35.92,36.24,34987200,36.24,
7/14/14,35.86,35.94,35.71,35.86,12564400,35.86,
7/11/14,35.72,35.83,35.57,35.76,11559400,35.76,
7/10/14,35.38,35.77,35.38,35.7,14594000,35.7,
7/9/14,35.7,35.72,35.51,35.65,15910100,35.65,
7/8/14,35.54,35.73,35.41,35.56,20139500,35.56,
7/7/14,35.9,36.1,35.85,36.02,19577000,35.56,
7/3/14,35.85,35.87,35.69,35.84,11681200,35.38,
7/2/14,35.48,35.67,35.43,35.67,14225800,35.21,
7/1/14,35.23,35.53,35.15,35.48,21774600,35.03,
6/30/14,35.4,35.55,35.33,35.36,19118700,34.91,
6/27/14,35.17,35.43,35.1,35.41,20942300,34.96,
6/26/14,35.31,35.31,35.1,35.26,15789800,34.81,
6/25/14,35.22,35.29,35.1,35.26,15275400,34.81,
6/24/14,35.39,35.58,35.21,35.29,21166100,34.84,
6/23/14,35.57,35.57,35.26,35.39,14507600,34.94,
6/20/14,35.63,35.75,35.35,35.39,28984000,34.94,
6/19/14,35.25,35.39,35.2,35.36,19514000,34.91,
6/18/14,35.02,35.21,34.97,35.2,20301100,34.75,
6/17/14,35.02,35.15,34.95,35.02,17310300,34.57,
6/16/14,34.97,35.09,34.9,34.98,14109700,34.53,
6/13/14,34.92,35.15,34.78,35.03,19976700,34.58,
6/12/14,34.84,34.87,34.62,34.83,19062400,34.39,
6/11/14,34.95,35.04,34.8,34.81,16329600,34.37,
6/10/14,34.92,35.1,34.86,34.94,17694200,34.49,
6/9/14,35.05,35.12,34.94,35.01,17660300,34.56,
6/6/14,35.07,35.1,34.89,35.02,17130700,34.57,
6/5/14,35.07,35.13,34.8,35.1,22265300,34.65,
6/4/14,35.2,35.2,34.95,35.05,26906000,34.6,
6/3/14,35.43,35.6,35.15,35.2,22262300,34.75,
6/2/14,35.5,35.55,35.3,35.44,16222600,34.99,
5/30/14,35.29,35.53,35.29,35.47,16164700,35.02,
5/29/14,35.37,35.44,35,35.39,14166400,34.94,
5/28/14,35.29,35.5,35.21,35.34,20503700,34.89,
5/27/14,35.29,35.4,35.1,35.21,22452700,34.76,
5/23/14,35.36,35.55,35.25,35.32,17373800,34.87,
5/22/14,35.32,35.5,35.25,35.38,18026200,34.93,
5/21/14,35.67,35.71,35.09,35.27,32682800,34.82,
5/20/14,36.35,36.35,35.42,35.5,39979000,35.05,
5/19/14,35.99,36.75,35.77,36.38,77607200,35.92,
5/16/14,36.55,36.79,36.51,36.74,24018800,36.27,
5/15/14,36.4,36.61,35.58,36.52,20337500,36.05,
5/14/14,36.1,36.57,36.01,36.39,24179500,35.93,
5/13/14,36.48,36.54,35.89,36.2,34252300,35.74,
5/12/14,36.73,36.74,36.16,36.57,23982100,36.1,
5/9/14,36.38,36.51,36.18,36.44,15015500,35.97,
5/8/14,35.89,36.86,35.8,36.4,36474100,35.94,
5/7/14,35.56,35.96,35.52,35.76,20267000,35.3,
5/6/14,35.76,35.76,35.48,35.49,21487700,35.04,
5/5/14,35.58,35.76,35.44,35.76,15938700,35.3,
5/2/14,35.7,35.8,35.52,35.63,15943400,35.17,
5/1/14,35.75,36,35.41,35.58,27837400,35.13,
4/30/14,35.43,35.74,35.26,35.7,22553300,35.24,
4/29/14,35.32,35.48,35.05,35.42,20731900,34.97,
4/28/14,34.67,35.15,34.56,35.08,29626400,34.63,
