Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,88.18,88.3,87.44,87.64,4724500,87.64,American Express Co
9/11/14,88.01,88.6,87.88,88.42,2757000,88.42,
9/10/14,88.1,88.66,88.01,88.41,3452700,88.41,
9/9/14,88.85,88.9,87.75,87.9,4014300,87.9,
9/8/14,89.4,89.83,88.62,88.93,3617600,88.93,
9/5/14,89.64,89.74,89.02,89.61,2571200,89.61,
9/4/14,90.11,90.46,89.42,89.65,2594100,89.65,
9/3/14,90.13,90.49,90,90.14,2930800,90.14,
9/2/14,89.9,90.13,89.28,89.72,3592100,89.72,
8/29/14,89.37,89.7,89.09,89.55,2672700,89.55,
8/28/14,88.84,89.33,88.61,89.02,3324900,89.02,
8/27/14,89.25,89.59,88.99,89.24,2632300,89.24,
8/26/14,89.61,89.93,89.08,89.15,2920600,89.15,
8/25/14,89.56,90.22,89.32,89.59,3718600,89.59,
8/22/14,88.89,89.51,88.83,88.88,2796200,88.88,
8/21/14,88.64,89.33,88.59,89.14,3019300,89.14,
8/20/14,88.01,88.65,87.9,88.49,3142900,88.49,
8/19/14,87.58,88.28,87.45,88.12,3523700,88.12,
8/18/14,87.29,87.48,86.98,87.16,2662100,87.16,
8/15/14,87.78,87.88,86.23,86.6,3290800,86.6,
8/14/14,87.5,87.8,87.1,87.27,3498800,87.27,
8/13/14,87.44,88.07,87.16,87.4,2590600,87.4,
8/12/14,87,87.09,86.7,87.08,3106600,87.08,
8/11/14,87.92,88.16,86.94,86.95,3594400,86.95,
8/8/14,86.09,87.51,85.91,87.47,4206700,87.47,
8/7/14,86.79,87.14,85.89,86.02,4539100,86.02,
8/6/14,86.04,86.79,86,86.4,4805600,86.4,
8/5/14,86.65,87.02,85.89,86.36,5004400,86.36,
8/4/14,86.6,87.24,86.45,86.93,5743800,86.93,
8/1/14,87.41,87.74,85.75,86.47,12258300,86.47,
7/31/14,90.07,90.26,87.99,88,7561100,88,
7/30/14,92.11,92.32,90.04,90.91,5069300,90.91,
7/29/14,91.83,92.23,91.51,91.71,4773300,91.71,
7/28/14,91.9,92.03,90.9,91.86,4274000,91.86,
7/25/14,92.74,93.07,91.58,91.93,3903500,91.93,
7/24/14,93.33,93.62,92.85,93.15,3023400,93.15,
7/23/14,93.19,93.59,92.82,93.28,1984800,93.28,
7/22/14,93.51,94.06,93.22,93.37,2411600,93.37,
7/21/14,93.29,93.4,92.38,92.88,2321800,92.88,
7/18/14,93.32,93.93,93.1,93.53,3363000,93.53,
7/17/14,93.96,94.7,92.91,92.99,3110800,92.99,
7/16/14,94.81,95.09,94.27,94.47,2738000,94.47,
7/15/14,94.79,95.16,94,94.45,3499200,94.45,
7/14/14,95.23,95.58,94.43,94.54,2388000,94.54,
7/11/14,94.27,94.59,93.75,94.47,2108500,94.47,
7/10/14,93.55,94.81,93.16,94.46,2230000,94.46,
