Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,104.97,105.09,104.4,105.02,6904200,105.02,Caterpillar Inc
9/11/14,105.66,105.66,104.59,105.59,5460100,105.59,
9/10/14,105.61,106.12,105.38,105.93,8154700,105.93,
9/9/14,107.82,108.2,107.19,107.4,3578500,107.4,
9/8/14,108.23,108.46,107.52,107.91,3496900,107.91,
9/5/14,109,109.18,108.19,108.54,4305000,108.54,
9/4/14,108.3,109.49,108.16,108.82,4604000,108.82,
9/3/14,109.45,109.66,108.05,108.46,4669000,108.46,
9/2/14,109.03,109.73,108.83,108.92,4040200,108.92,
8/29/14,108.9,109.1,108.25,109.07,4437200,109.07,
8/28/14,108.02,108.82,107.8,108.65,3227800,108.65,
8/27/14,108.13,108.92,108.08,108.55,3281900,108.55,
8/26/14,108.05,108.64,107.98,108.06,2366900,108.06,
8/25/14,107.96,108.33,107.73,107.97,3014100,107.97,
8/22/14,107.58,107.82,106.54,107.31,4603700,107.31,
8/21/14,108.17,108.57,107.54,107.97,4118100,107.97,
8/20/14,107.39,108.15,107.2,107.7,5341600,107.7,
8/19/14,107.26,107.7,106.87,107.3,3639200,107.3,
8/18/14,106.69,107.1,106.28,106.98,3478600,106.98,
8/15/14,106.01,106.42,105.13,105.74,4099200,105.74,
8/14/14,105.51,106,104.99,105.66,4178800,105.66,
8/13/14,104.33,105.5,104.33,105.16,4664900,105.16,
8/12/14,104.59,105.16,104.13,104.33,4200900,104.33,
8/11/14,104.61,104.85,103.93,104.5,5197900,104.5,
8/8/14,102.01,103.44,101.78,103.28,4690200,103.28,
8/7/14,102.66,103.47,101.88,101.94,5752800,101.94,
8/6/14,100.76,101.85,100.61,101.49,5526900,101.49,
8/5/14,101.11,102.47,100.94,101.5,5685400,101.5,
8/4/14,100.36,102.05,100.1,101.81,5183900,101.81,
8/1/14,100.52,100.85,99.11,100.52,6011900,100.52,
7/31/14,102.24,102.69,100.74,100.75,6711400,100.75,
7/30/14,105.08,105.32,103.03,103.38,5856900,103.38,
7/29/14,105,106.44,104.69,104.69,7947100,104.69,
7/28/14,104.78,104.9,103.17,104.15,4474300,104.15,
7/25/14,104.14,105.35,104.1,104.85,4126200,104.85,
7/24/14,105.6,106.23,104.09,105.04,8690300,105.04,
7/23/14,109.79,109.98,108.21,108.38,4471400,108.38,
7/22/14,110.84,111.28,109.8,110.06,2879400,110.06,
7/21/14,110,110.55,109.45,110.23,2075900,110.23,
7/18/14,109.43,110.17,109.05,110.17,2424900,110.17,
7/17/14,110.4,110.67,108.93,109.07,3164700,109.07,
7/16/14,110.18,111.46,109.92,111.4,3974100,110.7,
7/15/14,110.25,110.42,109.4,109.85,3212900,109.16,
7/14/14,110.43,111.04,110.09,110.09,2375100,109.4,
7/11/14,109.5,109.99,108.65,109.96,1992300,109.27,
7/10/14,108.14,109.57,107.8,109.36,2303600,108.67,
7/9/14,109.79,110.29,109.42,110.14,2270600,109.45,
7/8/14,110.21,110.38,109.4,109.46,2450600,108.77,
7/7/14,110.18,110.45,109.57,110.16,2697100,109.47,
7/3/14,109.9,111.16,109.69,111.08,2876200,110.38,
7/2/14,109.32,109.95,109.3,109.56,1849000,108.87,
7/1/14,109.08,109.75,109.01,109.17,2346300,108.48,
6/30/14,108.68,109.03,107.97,108.67,2249200,107.99,
6/27/14,108.34,108.88,107.73,108.78,3632100,108.1,
6/26/14,108.55,108.8,107.85,108.52,1522900,107.84,
6/25/14,107.48,108.88,107.35,108.44,2176200,107.76,
6/24/14,108.56,109.34,107,107.81,2864200,107.13,
6/23/14,109.25,109.85,108.29,108.78,2839500,108.1,
6/20/14,108.05,109.53,107.64,109.38,7762900,108.69,
6/19/14,106.99,107.42,106.69,107.25,2592400,106.58,
6/18/14,106.63,107.6,106.05,107.48,2218700,106.8,
6/17/14,106.51,107,106,106.67,2138400,106,
6/16/14,106.5,106.88,105.73,106.81,2137200,106.14,
6/13/14,106.55,107.23,106.07,106.77,2009100,106.1,
6/12/14,108.47,108.5,106.44,106.65,3408600,105.98,
6/11/14,108.93,108.98,108.33,108.69,2738800,108.01,
6/10/14,108.5,109.5,108.4,109.31,4752700,108.62,
6/9/14,107.74,109.3,107.66,108.75,3900400,108.07,
6/6/14,107.08,108.36,106.98,108.18,4299600,107.5,
6/5/14,104.8,107.12,104.77,106.96,5389200,106.29,
6/4/14,104.42,105.1,104.07,104.31,2879900,103.65,
6/3/14,103.42,104.57,103.05,104.49,3643600,103.83,
6/2/14,102.42,103.94,102.01,103.76,3747000,103.11,
5/30/14,102.9,102.98,101.55,102.23,5939300,101.59,
