Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,123.54,123.66,122.21,122.66,4915600,122.66,Chevron Corp
9/11/14,123.28,124.07,122.41,123.83,6569600,123.83,
9/10/14,124.46,124.74,123.01,124.28,10941800,124.28,
9/9/14,124.49,125.79,124.26,125.18,6721600,125.18,
9/8/14,126.68,126.75,125.69,126.21,4200800,126.21,
9/5/14,127.15,127.44,126.16,127.4,5035500,127.4,
9/4/14,128.21,128.46,126.2,126.8,5191200,126.8,
9/3/14,128.45,128.88,127.67,127.86,3846300,127.86,
9/2/14,129.2,129.38,127.06,127.54,4744500,127.54,
8/29/14,129,129.53,128.5,129.45,3519000,129.45,
8/28/14,128.28,128.9,128.25,128.75,2409000,128.75,
8/27/14,128.41,128.82,128.19,128.64,2756000,128.64,
8/26/14,128.06,128.71,127.94,128.25,2822100,128.25,
8/25/14,127.57,128.07,127.38,127.84,2629200,127.84,
8/22/14,127.02,127.5,126.47,127.11,3236900,127.11,
8/21/14,127.68,128.18,127.18,127.93,2668100,127.93,
8/20/14,127.25,127.6,126.78,127.49,3230300,127.49,
8/19/14,126.72,127.7,126.55,127.63,3887800,127.63,
8/18/14,126.27,126.59,125.63,126.3,4630000,126.3,
8/15/14,126.42,126.79,125.68,126.1,5754300,126.1,
8/14/14,127.68,127.7,126.53,126.96,4524000,125.89,
8/13/14,127.64,128.24,126.87,127.6,3518200,126.52,
8/12/14,127.14,127.28,126.26,127.09,4944100,126.02,
8/11/14,128.16,128.67,127.54,127.71,3466500,126.63,
8/8/14,126.07,127.96,125.91,127.86,4730700,126.78,
8/7/14,126.19,126.73,124.83,125.65,4650700,124.59,
8/6/14,124.9,126.97,124.8,125.73,5134900,124.67,
8/5/14,127.81,127.81,124.58,124.96,8066700,123.91,
8/4/14,127.69,128.36,126.03,128.17,7360000,127.09,
8/1/14,127.76,128.96,126.36,127.9,7377800,126.82,
7/31/14,131.73,131.97,129.1,129.24,7973700,128.15,
7/30/14,132.97,133.69,131.5,132.53,4601800,131.41,
7/29/14,132.9,133.72,132.42,132.42,4189100,131.3,
7/28/14,133.56,133.8,132.89,133.24,4625000,132.12,
7/25/14,134.58,134.61,133.06,133.57,3702000,132.44,
7/24/14,134.03,135.1,133.69,134.85,5337900,133.71,
7/23/14,132.7,133.93,132.48,133.88,4589500,132.75,
7/22/14,131.55,133.2,131.55,132.58,4391700,131.46,
7/21/14,130.11,131.34,130.01,131.29,3714000,130.18,
