Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,65.22,65.35,64.52,64.78,3193400,64.78,E I du Pont de Nemours and Co
9/11/14,65.02,65.23,64.79,65.13,2327500,65.13,
9/10/14,65.15,65.36,64.63,65.21,2780000,65.21,
9/9/14,65.56,65.68,65.21,65.27,2887700,65.27,
9/8/14,66.01,66.09,65.35,65.36,3323500,65.36,
9/5/14,65.72,66.16,65.66,66,3195000,66,
9/4/14,65.75,66.33,65.75,65.92,2737100,65.92,
9/3/14,66.19,66.38,65.73,65.82,3067000,65.82,
9/2/14,65.92,66.23,65.58,65.83,3022700,65.83,
8/29/14,66.45,66.56,65.9,66.11,3206500,66.11,
8/28/14,65.67,66.3,65.52,66.15,1609800,66.15,
8/27/14,65.96,66.21,65.84,65.93,2152500,65.93,
8/26/14,66.32,66.43,65.88,66.16,2053800,66.16,
8/25/14,66.03,66.39,66.03,66.15,2204300,66.15,
8/22/14,66.16,66.28,65.77,65.86,2797300,65.86,
8/21/14,66.16,66.62,66.16,66.3,2224000,66.3,
8/20/14,66.09,66.4,66.04,66.22,4186900,66.22,
8/19/14,66.05,66.31,65.81,66.29,2120700,66.29,
8/18/14,65.53,65.95,65.5,65.87,2538300,65.87,
8/15/14,65.4,65.75,64.64,65.25,4362200,65.25,
8/14/14,64.71,65.3,64.71,65.2,1710300,65.2,
8/13/14,65.09,65.35,64.78,65.11,2276700,65.11,
8/12/14,64.75,65.61,64.73,65.49,3874100,65.02,
8/11/14,65.19,65.5,64.89,65.03,3010900,64.56,
8/8/14,64.48,65.06,64.13,65.04,2816300,64.57,
8/7/14,65.03,65.14,64.22,64.4,3449300,63.94,
8/6/14,63.89,64.85,63.89,64.77,2899400,64.31,
8/5/14,64.23,64.56,63.81,64.03,3279500,63.57,
8/4/14,64.17,64.74,63.78,64.63,3299400,64.17,
8/1/14,63.98,64.44,63.7,64.21,3771300,63.75,
7/31/14,64.95,65.1,64.17,64.31,4844400,63.85,
7/30/14,66.31,66.54,65.24,65.39,3683900,64.92,
7/29/14,65.45,66.95,65.37,66.2,6237800,65.72,
7/28/14,65.05,65.57,64.97,65.32,4883900,64.85,
7/25/14,65.15,65.5,64.85,64.93,3758300,64.46,
7/24/14,65.38,65.69,65.07,65.2,5658700,64.73,
7/23/14,64.5,65.69,64.45,65.37,6573700,64.9,
7/22/14,65.85,65.85,64.61,64.95,6101600,64.48,
7/21/14,65.23,65.75,65.07,65.54,3370900,65.07,
7/18/14,65.01,65.61,64.89,65.55,4019400,65.08,
7/17/14,64.91,65.33,64.81,64.89,4408400,64.42,
7/16/14,64.88,65.05,64.64,65.03,2972700,64.56,
7/15/14,65.02,65.36,64.5,64.58,4852200,64.12,
7/14/14,65.32,65.51,64.97,65.01,2613300,64.54,
7/11/14,64.93,65.2,64.69,64.89,2866300,64.42,
7/10/14,64.6,65.11,64.53,64.94,3108100,64.47,
7/9/14,65.35,65.49,64.98,65.04,3661000,64.57,
7/8/14,65.65,65.65,64.95,65.33,3337800,64.86,
7/7/14,65.56,65.75,65.1,65.64,3562200,65.17,
7/3/14,65.4,65.98,65.29,65.8,2884400,65.33,
7/2/14,65.05,65.4,64.75,65.36,3907200,64.89,
7/1/14,64.99,65.75,64.68,65.41,5075800,64.94,
6/30/14,65.14,65.45,64.87,65.44,7590800,64.97,
6/27/14,65.73,66.19,64.35,65.44,16151500,64.97,
6/26/14,67.97,67.99,67.3,67.7,2895400,67.21,
