Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,25.97,25.97,25.8,25.87,24605000,25.87,General Electric Co
9/11/14,25.91,26.09,25.83,26.02,22581000,26.02,
9/10/14,25.99,26.03,25.85,25.95,19094600,25.95,
9/9/14,26.07,26.11,25.85,25.9,21648500,25.9,
9/8/14,26.14,26.27,26.06,26.08,20364800,26.08,
9/5/14,25.9,26.1,25.8,26.1,20999500,26.1,
9/4/14,25.99,26.13,25.89,25.96,26865100,25.96,
9/3/14,25.98,26,25.82,25.95,19876200,25.95,
9/2/14,25.89,26.03,25.77,25.85,24378700,25.85,
8/29/14,26.03,26.09,25.9,25.98,21914000,25.98,
8/28/14,26.03,26.09,25.96,26.01,13438900,26.01,
8/27/14,26.05,26.2,26.02,26.13,21160300,26.13,
8/26/14,26.22,26.28,26.01,26.01,26102500,26.01,
8/25/14,26.15,26.29,26.02,26.2,21838100,26.2,
8/22/14,26.34,26.37,26.11,26.15,22746500,26.15,
8/21/14,26.42,26.45,26.3,26.43,22137100,26.43,
8/20/14,26.08,26.4,26.01,26.36,28826800,26.36,
8/19/14,26.14,26.16,26.05,26.05,16113300,26.05,
8/18/14,25.87,26.07,25.85,26.07,26750300,26.07,
8/15/14,25.95,25.97,25.51,25.64,28120100,25.64,
8/14/14,25.89,25.95,25.73,25.88,23322100,25.88,
8/13/14,25.72,25.92,25.7,25.83,19839100,25.83,
8/12/14,25.85,25.86,25.59,25.61,21780300,25.61,
8/11/14,25.84,26,25.72,25.79,27873100,25.79,
8/8/14,25.46,25.67,25.3,25.66,22929500,25.66,
8/7/14,25.61,25.7,25.42,25.5,36167500,25.5,
8/6/14,25.13,25.57,25.09,25.44,47222600,25.44,
8/5/14,25.1,25.29,24.95,25.02,27694300,25.02,
8/4/14,25.33,25.42,25.1,25.27,28410300,25.27,
8/1/14,25.07,25.36,24.75,25.35,40198800,25.35,
7/31/14,25.53,25.56,25.15,25.15,37995200,25.15,
7/30/14,25.58,25.79,25.4,25.64,25838200,25.64,
7/29/14,25.57,25.72,25.45,25.45,22528900,25.45,
7/28/14,25.67,25.73,25.44,25.59,32980200,25.59,
7/25/14,25.97,25.99,25.73,25.79,24634100,25.79,
7/24/14,25.95,26.08,25.9,25.94,22010800,25.94,
7/23/14,26.07,26.09,25.91,25.91,32060800,25.91,
7/22/14,26.07,26.1,25.85,26.02,34534600,26.02,
7/21/14,26.33,26.33,25.72,25.98,59343000,25.98,
7/18/14,26.77,26.78,26.25,26.46,55403000,26.46,
7/17/14,26.92,26.98,26.6,26.61,37548900,26.61,
7/16/14,26.69,27.15,26.66,27.02,47071000,27.02,
7/15/14,26.75,26.8,26.55,26.61,41440200,26.61,
7/14/14,26.63,26.86,26.62,26.66,25273800,26.66,
7/11/14,26.19,26.55,26.12,26.55,35440200,26.55,
7/10/14,26.13,26.29,26.1,26.2,33238500,26.2,
7/9/14,26.43,26.43,26.26,26.32,37820500,26.32,
7/8/14,26.62,26.65,26.35,26.37,29105600,26.37,
7/7/14,26.8,26.84,26.68,26.75,25263000,26.75,
7/3/14,26.81,26.89,26.78,26.86,20513900,26.86,
7/2/14,26.35,26.65,26.34,26.61,21284100,26.61,
7/1/14,26.27,26.5,26.26,26.4,28064500,26.4,
6/30/14,26.44,26.45,26.22,26.28,29678100,26.28,
6/27/14,26.29,26.43,26.23,26.43,35155200,26.43,
6/26/14,26.46,26.46,26.2,26.29,23159000,26.29,
6/25/14,26.47,26.51,26.34,26.42,26261200,26.42,
6/24/14,26.66,26.88,26.51,26.58,26418900,26.58,
6/23/14,27.05,27.06,26.6,26.68,31244400,26.68,
6/20/14,27.02,27.04,26.87,26.97,49758200,26.97,
6/19/14,26.66,26.98,26.66,26.93,31605200,26.93,
6/18/14,26.88,26.94,26.69,26.89,26237300,26.67,
6/17/14,26.79,26.98,26.68,26.87,21298600,26.65,
6/16/14,26.95,26.97,26.75,26.82,26681100,26.6,
6/13/14,26.88,27.07,26.88,27.04,19131500,26.82,
