Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,180.63,183.47,180.63,183.17,3358600,183.17,Goldman Sachs Group Inc
9/11/14,178.77,181.44,178.5,181,1905300,181,
9/10/14,178.33,180.18,178.12,179.87,2457800,179.87,
9/9/14,177.93,178.64,176.62,177.4,2598500,177.4,
9/8/14,179.58,180.92,179.22,180.11,1746400,180.11,
9/5/14,179.58,179.91,177.88,179.75,2562800,179.75,
9/4/14,179.93,181.6,179.55,180.08,1678500,180.08,
9/3/14,180.48,182.07,179.43,179.6,2397700,179.6,
9/2/14,179.26,180.22,178.38,179.77,1986300,179.77,
8/29/14,178.32,179.5,177.85,179.11,2560600,179.11,
8/28/14,177.05,177.75,175.89,177.65,1961800,177.65,
8/27/14,178.36,178.36,177.01,177.81,2073700,177.81,
8/26/14,178.47,179.15,177.81,177.9,3110600,177.35,
8/25/14,176.71,179.86,176.46,177.87,3063500,177.32,
8/22/14,175.35,176.98,174.83,175.47,2682000,174.93,
8/21/14,174.24,175.92,173.44,175.15,2075200,174.61,
8/20/14,173.27,174.18,172.6,174.03,1755100,173.49,
8/19/14,174.91,175.1,173.63,173.96,1916100,173.42,
8/18/14,173.25,174.63,172.7,174.55,1877700,174.01,
8/15/14,172.84,174.6,171.44,171.9,2446000,171.37,
8/14/14,172.8,173.1,171.69,172.73,1431400,172.2,
8/13/14,172.4,172.89,171.27,172.37,1711100,171.84,
8/12/14,171.78,173.11,171.38,172.33,1362900,171.8,
8/11/14,172.75,173.41,171.62,172.46,2098000,171.93,
8/8/14,169.35,172.49,168.68,172.26,2250900,171.73,
8/7/14,170.3,171.07,168.74,169.1,1920900,168.58,
8/6/14,168.15,170.85,168.02,169.74,1711700,169.22,
8/5/14,171.3,171.77,168.89,169.42,2746200,168.9,
8/4/14,170.57,171.89,170.05,171.69,2103900,171.16,
8/1/14,172.38,172.76,169.4,170.25,3140000,169.72,
7/31/14,174.44,175.27,172.79,172.87,3797600,172.34,
7/30/14,175.96,177.48,175.36,175.76,2345600,175.22,
7/29/14,176.17,177.11,175.45,175.54,3055600,175,
7/28/14,175,176.46,174.67,175.95,2303400,175.41,
7/25/14,175.91,176.46,174.72,175.4,2114900,174.86,
7/24/14,176.8,177.32,175.61,176.26,2012800,175.72,
7/23/14,175.21,177.22,174.63,176.82,3436100,176.27,
7/22/14,172.38,175.38,172.38,175.02,3849500,174.48,
7/21/14,170.17,172.1,170.05,171.72,2227400,171.19,
7/18/14,170.41,171.79,169.65,171.47,2558600,170.94,
7/17/14,170.21,171.6,168.92,170.14,3815500,169.61,
7/16/14,169.2,170.99,169,170.47,3305200,169.94,
7/15/14,169.7,170.15,167.15,169.17,4802300,168.65,
7/14/14,167.18,167.72,166.46,167,3007700,166.48,
7/11/14,163.02,165.14,162.38,164.8,2293300,164.29,
7/10/14,162.22,163.78,161.53,163.42,2204100,162.91,
7/9/14,165.24,165.33,163.63,164.67,1943800,164.16,
7/8/14,166.74,166.78,163.73,164.91,2422200,164.4,
7/7/14,168.97,168.97,166.9,167.78,1774000,167.26,
7/3/14,167.83,169.9,167.72,169.46,1801200,168.94,
7/2/14,167,167.81,166.57,166.89,1877600,166.37,
7/1/14,166.35,168.27,166.06,166.81,2947800,166.29,
6/30/14,166.87,167.91,166.37,167.44,1885200,166.92,
6/27/14,167.25,167.65,166.37,166.78,3111200,166.26,
6/26/14,167,168.11,166.37,168.01,2131200,167.49,
6/25/14,167.82,169.02,167.4,168.38,1601200,167.86,
6/24/14,169.55,170.55,167.95,168.23,1608000,167.71,
6/23/14,170.18,170.62,169.21,170.24,1738500,169.71,
6/20/14,170.32,171.08,169.42,169.84,4688200,169.31,
6/19/14,170,170.16,168.93,169.73,2306900,169.21,
6/18/14,167.89,170.1,167.29,169.86,2873200,169.33,
6/17/14,165.64,168.75,165.45,168.22,2450000,167.7,
6/16/14,165.52,166.53,164.45,165.85,1756400,165.34,
6/13/14,166.17,167.07,165.42,165.89,1761100,165.38,
6/12/14,165.76,166.65,165.02,165.96,2309900,165.45,
6/11/14,165.09,166.16,164.69,165.43,2004100,164.92,
6/10/14,165.86,167.26,165.48,166.36,1684500,165.85,
6/9/14,166.04,166.86,165.64,166,2377500,165.49,
6/6/14,162.9,166.26,162.9,166.19,3478100,165.68,
6/5/14,162.72,163.43,161.56,162.58,1859600,162.08,
6/4/14,161.44,162.73,160.86,162.39,2098400,161.89,
6/3/14,159.85,161.93,159.28,161.8,2408600,161.3,
6/2/14,159.78,160.2,157.91,160.03,2125400,159.54,
5/30/14,160.42,160.64,159.16,159.81,2206300,159.32,
5/29/14,161.14,162,159.62,160.74,1779200,160.24,
5/28/14,160.91,161.61,159.78,161.19,1855200,160.69,
5/27/14,161.12,163.43,160.58,161.77,3248800,160.72,
5/23/14,159.91,160.48,159.51,160.16,1210200,159.12,
5/22/14,158.95,160.3,158.65,159.85,1645100,158.81,
5/21/14,157.16,159.75,157.13,159.35,4226300,158.32,
5/20/14,157.48,157.91,155.61,156.35,2034900,155.34,
5/19/14,156.25,157.99,156.01,157.67,1618000,156.65,
5/16/14,155.61,156.97,154.84,156.43,2845600,155.42,
5/15/14,158.69,158.96,155.92,156.64,2769300,155.62,
5/14/14,160.2,160.89,159.28,159.45,2128700,158.42,
