Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,89.38,89.5,88.46,88.84,4593700,88.84,Home Depot Inc
9/11/14,89.07,89.42,88.62,89.22,4537800,89.22,
9/10/14,88.66,89.4,88.33,89.25,6245400,89.25,
9/9/14,90.21,90.33,88.78,88.93,8103000,88.93,
9/8/14,91.38,91.78,90.57,90.82,4885900,90.82,
9/5/14,89.66,91.64,89.28,91.61,7746400,91.61,
9/4/14,89,90.75,89,89.93,8452200,89.93,
9/3/14,91.11,91.31,88.98,89,15410400,89,
9/2/14,93.04,93.31,89.85,91.15,20753200,91.15,
8/29/14,92.74,93.52,92.61,93.5,7672200,93.03,
8/28/14,91.4,92.73,91.27,92.51,7575700,92.04,
8/27/14,91.68,91.96,91.31,91.87,4320200,91.41,
8/26/14,90.98,91.83,90.9,91.63,5396400,91.17,
8/25/14,91.25,91.82,90.95,91.2,7328700,90.74,
8/22/14,90.74,91.33,90.65,91.03,6939200,90.57,
8/21/14,90.68,91.81,90.67,91.15,8315900,90.69,
8/20/14,88.17,91.07,88.08,90.75,13394200,90.29,
8/19/14,86.9,88.99,86.57,88.23,18244600,87.79,
8/18/14,84.21,84.62,83.29,83.59,9475300,83.17,
8/15/14,84.04,84.09,82.85,83.69,5383500,83.27,
8/14/14,83.09,83.97,82.74,83.86,4923000,83.44,
8/13/14,82.98,83.39,82.74,83.12,4498700,82.7,
8/12/14,82.75,83.09,82.68,82.92,3657100,82.5,
8/11/14,82.61,83.07,82.5,82.88,3952000,82.46,
8/8/14,81.07,82.46,80.88,82.43,7226500,82.02,
8/7/14,80.75,81.07,80.29,80.47,4045900,80.07,
8/6/14,79.94,81.02,79.85,80.52,4228200,80.12,
8/5/14,79.78,80.86,79.78,80.03,5895500,79.63,
8/4/14,79.7,80.25,79.66,80.03,7025000,79.63,
8/1/14,80.56,81.08,79.74,79.75,8708000,79.35,
7/31/14,81.09,81.58,80.85,80.85,5748900,80.44,
7/30/14,81.5,81.85,81.07,81.76,5807300,81.35,
7/29/14,81.21,81.81,80.89,80.98,4536500,80.57,
7/28/14,81.2,81.34,80.66,81.07,3441600,80.66,
7/25/14,81.1,81.3,80.89,81.03,4680100,80.62,
7/24/14,81.19,81.54,80.89,81.2,4359600,80.79,
7/23/14,80.46,81.09,80.21,81.02,3669200,80.61,
7/22/14,80.36,80.75,80.2,80.54,6336100,80.14,
7/21/14,80.01,80.03,79.53,79.71,4112800,79.31,
7/18/14,79.8,80.28,79.45,80.08,5323200,79.68,
7/17/14,79.45,79.88,79.23,79.55,7697300,79.15,
7/16/14,80.04,80.24,79.38,79.66,9033700,79.26,
7/15/14,79.5,80.06,79.42,79.86,6051900,79.46,
7/14/14,79.92,80.06,79.19,79.46,7657200,79.06,
7/11/14,79.59,79.9,79.21,79.61,4746400,79.21,
7/10/14,79.05,79.58,77.95,79.4,11530900,79,
7/9/14,81.11,81.23,80.18,80.73,6980600,80.32,
7/8/14,81.42,81.53,80.55,80.76,7322900,80.35,
7/7/14,81.73,82.09,81.14,81.42,6071000,81.01,
7/3/14,82.07,82.35,81.8,82.05,2764000,81.64,
7/2/14,81.84,82.18,81.62,81.98,4185700,81.57,
7/1/14,81.32,81.97,81.22,81.82,5234600,81.41,
6/30/14,81.02,81.23,80.48,80.96,5045300,80.55,
6/27/14,80.65,81.47,80.63,81.13,5011000,80.72,
6/26/14,80.45,80.97,80.12,80.75,5165200,80.34,
6/25/14,80.36,80.61,80.12,80.53,4486300,80.13,
6/24/14,80.38,80.83,79.83,80.43,5579300,80.03,
6/23/14,80.16,80.8,79.97,80.64,4920400,80.23,
6/20/14,80.69,80.8,79.86,80.17,13661000,79.77,
6/19/14,80.71,80.85,79.95,80.44,5095400,80.04,
6/18/14,80.03,80.76,79.79,80.71,8071500,80.3,
6/17/14,78.84,80.46,78.73,80.02,9587300,79.62,
6/16/14,77.96,79.09,77.96,78.9,7164400,78.5,
6/13/14,78.49,78.59,77.75,78.07,7971800,77.68,
6/12/14,79.73,79.78,78.2,78.43,7643300,78.04,
6/11/14,80.46,80.73,79.76,79.81,4918100,79.41,
6/10/14,80.26,80.85,80.22,80.74,4249500,80.33,
6/9/14,80.63,81.32,80.42,80.61,3718600,80.2,
6/6/14,80.58,81.27,80.51,80.64,4460300,80.23,
6/5/14,80.67,80.86,80.28,80.38,5666400,79.98,
6/4/14,80.32,80.89,80.06,80.54,4961600,80.14,
6/3/14,80.19,80.88,80.15,80.67,5477700,80.26,
6/2/14,80.25,81.06,80.17,80.84,6817700,79.97,
5/30/14,79.77,80.27,79.58,80.23,4528000,79.36,
5/29/14,79.88,79.99,79.44,79.9,4408900,79.04,
5/28/14,79.75,80,79.27,79.68,4002200,78.82,
5/27/14,79.38,80,79.3,79.69,4760600,78.83,
5/23/14,78.77,79.4,78.51,79.18,5003100,78.32,
5/22/14,77.76,79.05,77.76,78.78,5265900,77.93,
5/21/14,78.25,78.51,77.75,78.08,6693900,77.24,
5/20/14,77.92,78.82,77.4,77.96,15432200,77.12,
5/19/14,76.58,77.07,76.37,76.5,7733800,75.67,
5/16/14,76.79,77.37,76.66,77.36,7039400,76.52,
5/15/14,76.05,76.29,75.32,76.24,6304700,75.42,
5/14/14,77.33,77.37,76.17,76.31,6870000,75.48,
5/13/14,78.36,78.68,77.04,77.27,5455500,76.43,
5/12/14,77.82,78.44,77.75,78.27,4324200,77.42,
5/9/14,77.06,77.75,76.81,77.71,4345800,76.87,
5/8/14,76.94,77.73,76.66,77.05,5485100,76.22,
5/7/14,77.85,77.96,76.52,77.08,5378600,76.25,
5/6/14,78.64,78.76,77.35,77.42,6475800,76.58,
5/5/14,79.04,79.18,78.56,78.69,3521000,77.84,
5/2/14,79.32,80.16,79.16,79.4,3738400,78.54,
5/1/14,79.51,79.65,78.95,79.33,3936700,78.47,
4/30/14,79.74,79.74,78.73,79.51,8524700,78.65,
4/29/14,80.32,80.32,79.52,79.52,5146500,78.66,
4/28/14,79.53,81.15,79.33,80.17,14562400,79.3,
4/25/14,79.41,79.7,79.03,79.38,6381400,78.52,
4/24/14,78.97,79.81,78.72,79.77,7271600,78.91,
4/23/14,79.87,80.05,78.44,78.52,7497000,77.67,
4/22/14,78.74,80.23,78.63,79.67,11188400,78.81,
4/21/14,78.35,78.35,77.67,77.96,6253300,77.12,
4/17/14,76.26,77.68,75.91,77.09,6875600,76.26,
4/16/14,76.42,76.58,75.8,76.58,6104700,75.75,
4/15/14,76.29,76.4,74.61,75.89,7022900,75.07,
4/14/14,76.3,76.86,75.51,75.97,8677200,75.15,
4/11/14,76.62,77.06,75.65,75.7,8399100,74.88,
4/10/14,77.62,78.22,76.7,76.78,6201500,75.95,
4/9/14,77.24,77.93,77.14,77.76,8027600,76.92,
4/8/14,76.91,77.44,76.42,77.11,7371000,76.28,
4/7/14,78.69,78.69,77.03,77.13,11121300,76.3,
4/4/14,79.64,79.7,78.49,78.72,6422000,77.87,
4/3/14,79.95,80.02,78.98,79.4,5505400,78.54,
4/2/14,79.54,80.76,79.49,79.95,6611700,79.09,
4/1/14,79.24,80.29,79.24,79.38,6697600,78.52,
3/31/14,79.21,79.33,78.84,79.13,5736200,78.27,
3/28/14,78.92,79.5,78.49,78.72,5132700,77.87,
3/27/14,78.63,79.02,78.37,78.68,5803300,77.83,
3/26/14,79.49,79.78,78.7,78.87,6364600,78.02,
3/25/14,80.05,80.09,79.16,79.47,5375500,78.61,
3/24/14,80.41,80.46,79.2,79.66,7574200,78.8,
3/21/14,80.78,81.9,80.25,80.42,10086100,79.55,
3/20/14,79.71,80.24,79.47,80.09,5097800,79.22,
3/19/14,79.97,80.49,79.4,79.75,6568400,78.89,
3/18/14,79.65,80.56,79.62,79.82,5032600,78.96,
3/17/14,79.57,80.19,79.25,79.58,5547600,78.72,
3/14/14,78.82,79.88,78.79,79.38,6739000,78.52,
3/13/14,81.06,81.06,78.72,78.8,7665800,77.95,
3/12/14,80.73,80.85,80.24,80.56,7048700,79.69,
3/11/14,81.69,81.85,81.05,81.29,4667900,80.41,
3/10/14,82.44,82.54,81.73,82.18,4139000,80.83,
3/7/14,82.61,82.67,82.04,82.55,5287700,81.19,
3/6/14,82.78,82.89,82.23,82.41,6168400,81.05,
3/5/14,82.91,83.2,82.58,82.91,5069900,81.54,
3/4/14,82.89,83.2,82.71,82.87,6367600,81.51,
3/3/14,80.73,82.03,80.62,82,8359500,80.65,
2/28/14,81.89,83.1,81.39,82.03,7239600,80.68,
2/27/14,81.66,82.2,80.61,81.97,6040900,80.62,
2/26/14,80.99,82.71,80.79,81.7,9737800,80.35,
2/25/14,79.68,81,79.33,80.98,13421700,79.65,
2/24/14,77.84,78.25,77.46,77.87,11739500,76.59,
2/21/14,77.36,78.04,77.36,77.74,7764500,76.46,
2/20/14,76.59,77.56,76.54,77.48,5852200,76.2,
2/19/14,77.25,77.52,76.4,76.45,7767800,75.19,
2/18/14,77.92,78.08,77.07,77.57,4954700,76.29,
2/14/14,77.75,78.13,77.32,77.93,4752300,76.65,
2/13/14,77.34,77.87,76.94,77.59,6586900,76.31,
2/12/14,76.91,77.33,76.67,77.28,7345900,76.01,
2/11/14,76.44,76.99,76.17,76.7,6292900,75.44,
2/10/14,76.56,76.59,75.88,76.41,6343600,75.15,
2/7/14,76.17,76.6,75.85,76.45,6194200,75.19,
2/6/14,75.19,76.2,75.17,76.16,6107100,74.91,
2/5/14,74.73,75.55,73.96,75.26,10080300,74.02,
2/4/14,75.51,75.85,74.17,74.97,9573400,73.74,
2/3/14,76.64,76.73,74.93,75.09,9527000,73.85,
1/31/14,76.2,77.47,75.85,76.85,10592200,75.58,
1/30/14,77.23,77.76,76.65,76.93,6820900,75.66,
1/29/14,78.28,78.75,76.63,76.68,9195300,75.42,
1/28/14,78.42,78.93,77.82,78.54,10586500,77.25,
1/27/14,78.86,79.17,78.52,78.94,6591200,77.64,
1/24/14,79.61,80,79.16,79.16,7118300,77.86,
1/23/14,79.62,80.3,79.19,80.24,6387000,78.92,
1/22/14,80.66,80.81,79.92,80.2,5821600,78.88,
1/21/14,81.3,81.5,79.81,80.46,6932800,79.13,
1/17/14,81.32,81.35,80.65,81,6178000,79.67,
1/16/14,80.9,81.38,80.78,81.26,4871200,79.92,
1/15/14,80.85,81.43,80.74,81.07,5196800,79.73,
1/14/14,81.28,81.49,80.61,81.01,5217300,79.68,
1/13/14,81.61,82.13,80.96,80.97,6952400,79.64,
1/10/14,81.72,82.04,81.42,82.01,4981000,80.66,
1/9/14,81.9,81.94,80.97,81.57,4966000,80.23,
1/8/14,81.54,81.94,81.03,81.93,4662300,80.58,
