Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,34.9,34.91,34.5,34.62,26732600,34.62,Intel Corp
9/11/14,34.79,35.02,34.53,35.02,21949000,35.02,
9/10/14,34.85,35.13,34.67,35.02,19964200,35.02,
9/9/14,35.29,35.29,34.85,34.91,22333100,34.91,
9/8/14,34.96,35.56,34.88,35.33,24859600,35.33,
9/5/14,34.92,35.12,34.83,35,20841900,35,
9/4/14,34.53,35.09,34.52,34.91,27632400,34.91,
9/3/14,34.82,34.88,34.45,34.57,26668800,34.57,
9/2/14,34.76,34.91,34.43,34.57,32094800,34.57,
8/29/14,34.81,34.94,34.67,34.92,32302800,34.92,
8/28/14,34.61,34.81,34.61,34.65,18908900,34.65,
8/27/14,34.89,34.94,34.63,34.79,16785200,34.79,
8/26/14,34.79,35.05,34.69,34.8,19633400,34.8,
8/25/14,35.09,35.15,34.65,34.81,18588900,34.81,
8/22/14,35.2,35.2,34.91,34.94,21196700,34.94,
8/21/14,34.46,35.19,34.45,35.15,37142800,35.15,
8/20/14,34.23,34.51,34.18,34.5,27140300,34.5,
8/19/14,34.5,34.5,34.25,34.34,29281900,34.34,
8/18/14,34.26,34.47,33.98,34.41,27232200,34.41,
8/15/14,34.1,34.21,33.71,34.17,28577600,34.17,
8/14/14,34.05,34.23,33.74,33.94,25452700,33.94,
8/13/14,33.24,34.15,33.23,34.1,36257500,34.1,
8/12/14,32.91,33.15,32.68,33.13,24805600,33.13,
8/11/14,32.82,33.24,32.81,33.02,27718600,33.02,
8/8/14,32.78,33,32.54,32.6,35484000,32.6,
8/7/14,32.93,33.15,32.54,32.68,27820100,32.68,
8/6/14,32.6,33.19,32.39,32.85,27923900,32.85,
8/5/14,33.76,33.78,32.6,32.82,49845100,32.82,
8/4/14,33.79,34.09,33.55,34.05,27250100,33.82,
8/1/14,33.75,34.03,33.61,33.74,33472400,33.52,
7/31/14,34.09,34.25,33.81,33.89,35431200,33.67,
7/30/14,34.31,34.57,34.04,34.35,32782800,34.12,
7/29/14,34.27,34.37,34.09,34.19,26141700,33.96,
7/28/14,34.23,34.32,33.88,34.23,30972200,34,
7/25/14,34.15,34.37,33.93,34.25,31614000,34.02,
7/24/14,34.38,34.67,34.1,34.25,33180400,34.02,
7/23/14,34.68,34.71,34.3,34.5,26077000,34.27,
7/22/14,34.16,34.83,34.07,34.79,42915100,34.56,
7/21/14,33.55,34.23,33.54,34.06,32097200,33.83,
7/18/14,33.8,33.84,33.39,33.7,46528800,33.48,
7/17/14,34.2,34.36,33.63,33.7,70591100,33.48,
7/16/14,33.31,34.74,33.21,34.65,135893200,34.42,
7/15/14,31.58,31.8,31.16,31.71,61006100,31.5,
7/14/14,31.41,31.58,31.34,31.49,24244600,31.28,
7/11/14,31.26,31.45,31.04,31.25,20045000,31.04,
7/10/14,30.6,31.33,30.44,31.26,32455100,31.05,
7/9/14,30.84,30.98,30.69,30.89,28302400,30.69,
7/8/14,31,31.08,30.7,30.79,37608700,30.59,
7/7/14,31.09,31.2,30.92,31.03,22233400,30.82,
7/3/14,31.08,31.36,31.02,31.14,20437600,30.93,
7/2/14,30.99,31.05,30.8,30.98,16831200,30.78,
7/1/14,30.99,31.09,30.87,30.98,28240000,30.78,
6/30/14,30.87,31,30.66,30.9,21558400,30.7,
6/27/14,30.87,31,30.7,30.93,30776300,30.73,
6/26/14,30.81,30.9,30.61,30.78,26722300,30.58,
6/25/14,30.48,31,30.45,30.88,44293300,30.68,
6/24/14,30.16,30.83,30.09,30.5,53397600,30.3,
6/23/14,30.1,30.31,29.85,30.23,26528900,30.03,
6/20/14,30.07,30.2,30.03,30.2,39826400,30,
6/19/14,29.97,30.09,29.89,30.09,27166600,29.89,
6/18/14,29.88,29.98,29.67,29.93,34412300,29.73,
6/17/14,29.88,30.1,29.84,29.95,28440600,29.75,
6/16/14,29.72,30.15,29.67,30.01,36407800,29.81,
6/13/14,29.75,30.06,29.56,29.87,122194300,29.67,
6/12/14,27.86,28.1,27.77,27.96,31211400,27.78,
6/11/14,28.14,28.21,27.8,27.93,27747700,27.75,
6/10/14,27.85,28.33,27.72,28.24,34256900,28.05,
6/9/14,28.1,28.42,27.83,27.91,39933000,27.73,
6/6/14,27.78,28.21,27.73,28.17,34795600,27.98,
6/5/14,27.56,27.66,27.43,27.66,26546200,27.48,
6/4/14,27.51,27.76,27.5,27.6,21612500,27.42,
6/3/14,27.22,27.7,27.12,27.66,33256300,27.48,
6/2/14,27.31,27.35,27.12,27.26,20264900,27.08,
5/30/14,26.94,27.32,26.93,27.32,43641000,27.14,
5/29/14,26.91,26.96,26.72,26.96,20638900,26.78,
5/28/14,26.7,26.94,26.66,26.88,27150100,26.7,
5/27/14,26.33,26.74,26.18,26.71,27271900,26.53,
5/23/14,26.15,26.3,26.14,26.29,17172200,26.12,
5/22/14,26.21,26.27,26.08,26.15,15926500,25.98,
5/21/14,26.1,26.25,26,26.2,18721300,26.03,
5/20/14,26.02,26.17,25.88,26.04,22292600,25.87,
5/19/14,25.75,26.09,25.75,26.04,22679600,25.87,
5/16/14,26.05,26.07,25.74,25.82,30017200,25.65,
5/15/14,26.33,26.5,26.01,26.01,31752700,25.84,
5/14/14,26.49,26.52,26.33,26.33,17811900,26.16,
5/13/14,26.49,26.54,26.33,26.45,20525000,26.28,
5/12/14,26.41,26.54,26.3,26.37,20607800,26.2,
5/9/14,26.37,26.41,26.22,26.3,20324400,26.13,
5/8/14,26.32,26.53,26.22,26.34,24166900,26.17,
5/7/14,26.26,26.45,26.22,26.37,24692800,26.2,
5/6/14,26.16,26.38,26,26.2,21818000,26.03,
5/5/14,26.16,26.26,25.99,26.17,20738900,26,
5/2/14,26.56,26.64,26.4,26.41,24235200,26.01,
5/1/14,26.51,26.67,26.39,26.45,19755200,26.05,
4/30/14,26.32,26.7,26.22,26.69,25863900,26.29,
4/29/14,26.36,26.66,26.35,26.48,22146000,26.08,
4/28/14,26.17,26.39,26.01,26.33,33472800,25.93,
4/25/14,26.65,26.72,26.19,26.26,33614400,25.86,
4/24/14,26.81,26.96,26.64,26.75,25432800,26.35,
4/23/14,26.8,26.97,26.72,26.75,25574300,26.35,
4/22/14,26.91,26.98,26.66,26.84,29601600,26.44,
4/21/14,27.05,27.05,26.73,26.95,20398600,26.54,
4/17/14,26.88,27.16,26.79,27.04,38112600,26.63,
4/16/14,26.98,27.24,26.6,26.93,59033600,26.52,
4/15/14,26.51,26.83,26.36,26.77,45074400,26.37,
4/14/14,26.31,26.65,26.14,26.56,26957900,26.16,
4/11/14,26.27,26.59,26.17,26.18,36121100,25.79,
4/10/14,27.01,27.09,26.36,26.43,40478200,26.03,
4/9/14,26.93,27.02,26.73,26.98,34481800,26.57,
4/8/14,26.36,26.98,26.35,26.91,56699500,26.5,
4/7/14,26.3,26.74,26.2,26.49,49813500,26.09,
4/4/14,26.49,26.73,26.11,26.16,47918000,25.77,
4/3/14,26.15,26.46,26.14,26.41,38581300,26.01,
4/2/14,25.96,26.05,25.64,25.89,22464700,25.5,
4/1/14,25.8,26,25.64,25.99,23778700,25.6,
3/31/14,25.65,26.06,25.62,25.81,29336300,25.42,
3/28/14,25.41,25.81,25.32,25.62,22884500,25.23,
3/27/14,25.36,25.75,25.29,25.31,27201100,24.93,
3/26/14,25.59,25.74,25.32,25.38,26442800,25,
3/25/14,25.19,25.67,25.17,25.46,32317400,25.08,
3/24/14,25.21,25.38,24.92,25.12,36950600,24.74,
3/21/14,25.61,25.68,25.16,25.17,56861900,24.79,
3/20/14,25,25.59,24.94,25.43,37009100,25.05,
3/19/14,24.85,25.25,24.77,25.02,34229400,24.64,
3/18/14,24.68,24.9,24.55,24.82,26344000,24.45,
3/17/14,24.64,24.82,24.49,24.7,18525800,24.33,
3/14/14,24.48,24.65,24.4,24.5,21807200,24.13,
3/13/14,24.8,25,24.43,24.57,26243300,24.2,
3/12/14,24.65,24.88,24.61,24.76,21244800,24.39,
3/11/14,24.78,24.85,24.61,24.73,26656800,24.36,
3/10/14,24.61,24.89,24.58,24.84,24908100,24.47,
3/7/14,24.7,24.85,24.57,24.64,25373400,24.27,
3/6/14,24.57,24.65,24.38,24.63,22371700,24.26,
3/5/14,24.7,24.71,24.4,24.5,21036200,24.13,
3/4/14,24.72,24.78,24.5,24.61,23661200,24.24,
3/3/14,24.55,24.59,24.3,24.5,25728500,24.13,
2/28/14,24.79,24.85,24.57,24.76,23482700,24.39,
2/27/14,24.8,24.8,24.51,24.76,20863900,24.39,
2/26/14,24.74,24.98,24.61,24.8,19820200,24.43,
2/25/14,24.67,24.71,24.46,24.62,21539100,24.25,
2/24/14,24.51,24.88,24.41,24.63,24145500,24.26,
2/21/14,24.95,24.96,24.35,24.42,30579800,24.05,
2/20/14,24.54,24.85,24.5,24.74,20193800,24.37,
2/19/14,24.65,24.72,24.42,24.5,25686000,24.13,
2/18/14,24.67,24.78,24.55,24.76,17738100,24.39,
2/14/14,24.58,24.76,24.41,24.76,20539700,24.39,
2/13/14,24.43,24.74,24.31,24.7,22922000,24.33,
2/12/14,24.51,24.69,24.37,24.55,25874100,24.18,
2/11/14,24.35,24.52,24.33,24.47,17911700,24.1,
2/10/14,24.11,24.37,24.06,24.29,24571300,23.92,
2/7/14,24.2,24.26,23.77,24.21,30808400,23.85,
2/6/14,23.6,24.08,23.55,23.99,28008400,23.63,
2/5/14,23.7,23.76,23.5,23.52,32476200,23.17,
2/4/14,23.99,24.04,23.58,23.82,50816300,23.24,
2/3/14,24.5,24.51,23.89,23.95,52868200,23.37,
1/31/14,24.45,24.65,24.4,24.54,28623300,23.94,
1/30/14,24.75,24.89,24.54,24.74,24610100,24.14,
1/29/14,24.75,24.96,24.63,24.68,27145700,24.08,
1/28/14,24.71,25.05,24.57,24.9,32453800,24.29,
1/27/14,24.77,24.99,24.66,24.72,32564900,24.12,
1/24/14,24.88,25.19,24.79,24.81,34838700,24.21,
1/23/14,25.17,25.25,24.9,25.13,40241000,24.52,
1/22/14,25.39,25.54,25.15,25.31,48749900,24.69,
1/21/14,25.79,25.8,25.27,25.59,42286400,24.97,
1/17/14,25.36,25.86,25.25,25.85,111758900,25.22,
1/16/14,26.64,26.74,26.33,26.54,48960800,25.89,
1/15/14,26.72,27.12,26.61,26.67,58277700,26.02,
1/14/14,26.01,26.55,25.9,26.51,74142900,25.86,
1/13/14,25.63,25.99,25.42,25.5,40274500,24.88,
1/10/14,25.5,25.85,25.5,25.53,30588800,24.91,
1/9/14,25.42,25.55,25.25,25.31,20878000,24.69,
1/8/14,25.64,25.71,25.3,25.43,29680500,24.81,
1/7/14,25.54,25.73,25.47,25.59,19665100,24.97,
1/6/14,25.77,25.79,25.45,25.46,28682300,24.84,
1/3/14,25.86,25.9,25.6,25.78,27796700,25.15,
1/2/14,25.78,25.82,25.47,25.79,31833300,25.16,
12/31/13,25.81,26.04,25.77,25.96,22808100,25.33,
12/30/13,25.67,25.85,25.6,25.85,19787200,25.22,
