Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,191.47,191.6,190.57,191.28,2901000,191.28,International Business Machines Co
9/11/14,191.08,192.78,190.12,191.72,2298500,191.72,
9/10/14,190.12,192.15,190.1,191.54,2764000,191.54,
9/9/14,190.34,190.74,189.78,189.99,2390400,189.99,
9/8/14,190.75,191.2,189.51,190.14,2524200,190.14,
9/5/14,190.53,191.75,190.09,191.2,2260200,191.2,
9/4/14,191.69,192.69,190.06,190.68,2865000,190.68,
9/3/14,192.39,192.95,191.86,191.95,1822800,191.95,
9/2/14,192.68,192.97,190.93,191.56,2679700,191.56,
8/29/14,192.28,192.75,191.14,192.3,2909400,192.3,
8/28/14,191.47,192.3,190.66,192,1503600,192,
8/27/14,193.03,194.13,191.56,192.25,2190200,192.25,
8/26/14,191.02,193.53,191.02,192.99,3160900,192.99,
8/25/14,191.39,191.81,190.71,191.16,1723600,191.16,
8/22/14,190.77,191.88,190.29,190.41,1940300,190.41,
8/21/14,190.9,192.07,190.5,191.23,2496500,191.23,
8/20/14,189.86,190.39,189.25,190.1,2177600,190.1,
8/19/14,190.04,190.25,189.36,190.07,2040100,190.07,
8/18/14,188.1,189.81,187.76,189.36,2420300,189.36,
8/15/14,187.85,188.88,186.79,187.38,2814800,187.38,
8/14/14,187.57,188.17,186.93,187.88,1929500,187.88,
8/13/14,188,188.48,187.37,187.95,1797000,187.95,
8/12/14,187.45,188.69,186.81,187.34,1858600,187.34,
8/11/14,187.81,188.36,186.28,187.47,2527200,187.47,
8/8/14,184.4,186.67,183.58,186.63,2781500,186.63,
8/7/14,186.64,186.68,183.58,184.3,2708600,184.3,
8/6/14,185.36,186.88,184.44,185.97,3847000,185.97,
8/5/14,188.75,189.2,186.44,187.1,3307900,186,
8/4/14,189.35,189.95,188.6,189.64,2125900,188.53,
8/1/14,190.5,191.5,188.86,189.15,5181100,188.04,
7/31/14,192.84,194.29,191.54,191.67,4207500,190.54,
7/30/14,195.2,195.99,192.9,194,3943800,192.86,
7/29/14,195.3,195.89,194.54,194.57,3264100,193.43,
7/28/14,194.3,196.4,193.65,195.78,3242400,194.63,
7/25/14,195.3,195.9,193.79,194.4,3376400,193.26,
7/24/14,193.95,195.62,193.75,195.24,3612700,194.09,
7/23/14,194.11,194.9,193.57,193.63,3584200,192.49,
7/22/14,191.59,194.72,191.56,194.09,4853000,192.95,
7/21/14,191.3,191.7,189.25,190.85,4154400,189.73,
7/18/14,191.96,193.44,190,192.5,8166400,191.37,
7/17/14,192.36,195.95,192,192.49,8872300,191.36,
7/16/14,192.24,193.36,190.76,192.36,7812600,191.23,
7/15/14,189.54,190.08,188.21,188.49,4864700,187.38,
7/14/14,188.55,190.44,188.53,189.86,4501100,188.74,
7/11/14,187.73,188.35,186.71,188,2402500,186.89,
7/10/14,186.44,188.05,186.21,187.7,3177800,186.6,
7/9/14,187.68,188.9,186.89,188.42,3309600,187.31,
7/8/14,187.65,188.08,186.37,187.22,3135100,186.12,
7/7/14,187.61,188.27,187.44,188.04,2958700,186.93,
7/3/14,188.39,188.81,187.35,188.53,2422400,187.42,
7/2/14,186.34,188.99,186.17,188.39,5093000,187.28,
7/1/14,181.7,187.27,181.7,186.35,6643100,185.25,
