Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,59.8,60.41,59.75,60.03,14359100,60.03,JPMorgan Chase and Co
9/11/14,59.18,59.84,58.97,59.76,11467000,59.76,
9/10/14,59.15,59.56,58.92,59.22,9153800,59.22,
9/9/14,59.63,59.68,58.78,59.06,14846100,59.06,
9/8/14,59.84,60.22,59.74,59.89,8090000,59.89,
9/5/14,59.62,59.91,59.22,59.91,9589000,59.91,
9/4/14,59.63,60.14,59.43,59.71,9786000,59.71,
9/3/14,60.02,60.37,59.46,59.7,11791800,59.7,
9/2/14,59.46,59.71,59.15,59.67,8671100,59.67,
8/29/14,59.34,59.65,59.23,59.45,8897900,59.45,
8/28/14,59.25,59.37,58.81,59.16,9085400,59.16,
8/27/14,59.85,59.95,59.53,59.59,11389100,59.59,
8/26/14,59.57,59.95,59.39,59.74,10231100,59.74,
8/25/14,58.98,59.83,58.86,59.34,13969300,59.34,
8/22/14,58.44,59.08,58.33,58.49,10184500,58.49,
8/21/14,57.66,58.77,57.6,58.5,12722700,58.5,
8/20/14,57.42,57.85,57.39,57.64,8103400,57.64,
8/19/14,57.6,57.72,57.34,57.56,9029500,57.56,
8/18/14,56.86,57.43,56.76,57.23,8866600,57.23,
8/15/14,57.24,57.5,56.39,56.75,12727400,56.75,
8/14/14,56.77,57,56.7,56.98,8275400,56.98,
8/13/14,56.69,56.84,56.51,56.72,7012600,56.72,
8/12/14,56.23,56.55,56.13,56.35,11289600,56.35,
8/11/14,56.54,56.58,56.17,56.32,9066800,56.32,
8/8/14,55.89,56.36,55.64,56.34,12213200,56.34,
8/7/14,56.63,56.69,55.68,55.91,11743800,55.91,
8/6/14,55.89,56.69,55.83,56.23,12190600,56.23,
8/5/14,56.43,56.6,55.6,56.06,16863300,56.06,
8/4/14,56.91,56.98,56.34,56.65,13543900,56.65,
8/1/14,57.39,57.49,55.97,56.48,23915400,56.48,
7/31/14,58.65,58.68,57.66,57.67,15955900,57.67,
7/30/14,59.02,59.28,58.61,58.91,11815700,58.91,
7/29/14,59.13,59.13,58.44,58.64,13498800,58.64,
7/28/14,58.94,59.26,58.67,59.19,12382800,59.19,
7/25/14,58.92,59.27,58.84,59.01,10500600,59.01,
7/24/14,59.07,59.35,58.99,59.17,9844100,59.17,
7/23/14,58.76,59.19,58.52,59,11122100,59,
7/22/14,58.42,58.8,58.37,58.67,10375200,58.67,
7/21/14,58.12,58.41,57.9,58.24,9141400,58.24,
7/18/14,58.33,58.48,57.9,58.23,12803300,58.23,
7/17/14,58.56,58.86,57.76,57.86,17013500,57.86,
7/16/14,58.51,58.98,58.31,58.71,20507500,58.71,
7/15/14,57.95,58.69,57.76,58.27,36178000,58.27,
7/14/14,56.53,56.84,56.2,56.29,14004400,56.29,
7/11/14,55.29,55.91,55.19,55.8,10230000,55.8,
7/10/14,55.06,55.81,54.96,55.56,12436600,55.56,
7/9/14,55.88,56.12,55.61,56.02,10914300,56.02,
7/8/14,56.35,56.47,55.63,55.76,18343400,55.76,
7/7/14,56.89,56.99,56.4,56.67,13916100,56.67,
7/3/14,57.23,57.65,57,57.05,12599800,57.05,
7/2/14,57.27,57.48,56.82,56.97,19189900,56.97,
7/1/14,57.15,57.99,57.08,57.57,14472200,57.57,
6/30/14,57.44,57.78,57.38,57.62,11549000,57.22,
6/27/14,57.33,57.7,57.24,57.53,10178600,57.13,
6/26/14,57.34,57.49,56.6,57.39,11854400,56.99,
6/25/14,57.22,57.74,56.87,57.53,14836600,57.13,
6/24/14,57.88,58.12,57.3,57.42,12322900,57.02,
6/23/14,57.54,58.22,57.24,58.19,16007700,57.79,
6/20/14,57.69,57.77,57.35,57.55,17124800,57.15,
6/19/14,57.69,57.69,57.21,57.3,11624400,56.9,
6/18/14,57.29,57.81,56.95,57.78,13729400,57.38,
6/17/14,56.79,57.59,56.68,57.42,11200500,57.02,
6/16/14,56.85,56.95,56.33,56.87,11199100,56.48,
6/13/14,57.03,57.67,56.88,57.04,12040800,56.64,
6/12/14,57.07,57.42,56.87,57.04,11670200,56.64,
6/11/14,57.48,57.79,56.98,57.27,14232200,56.87,
6/10/14,57.47,57.94,57.39,57.9,11609200,57.5,
6/9/14,56.91,57.67,56.9,57.42,11999700,57.02,
6/6/14,56.76,57.13,56.65,56.97,15399800,56.57,
6/5/14,55.91,56.66,55.49,56.63,16803400,56.24,
6/4/14,55.52,55.73,55.25,55.68,9727800,55.29,
6/3/14,55.09,55.66,55.09,55.6,9131500,55.21,
6/2/14,55.65,55.65,55.02,55.35,9440000,54.97,
5/30/14,55.58,55.88,55.31,55.57,11991900,55.18,
5/29/14,55.75,55.92,55.39,55.72,11741000,55.33,
5/28/14,55.09,55.6,55,55.45,11374900,55.07,
5/27/14,54.75,55.43,54.69,55.14,14503700,54.76,
5/23/14,54.55,54.59,54.16,54.53,10876500,54.15,
5/22/14,54.17,54.6,54.02,54.55,11800900,54.17,
5/21/14,54.05,54.6,53.98,54.12,13210200,53.74,
5/20/14,53.72,54.04,53.41,53.72,16888200,53.35,
5/19/14,53.08,53.91,53.06,53.83,12068900,53.46,
5/16/14,53.42,53.51,52.97,53.31,19992400,52.94,
5/15/14,54.2,54.2,53.35,53.51,19763000,53.14,
5/14/14,54.64,54.7,54.3,54.36,10325800,53.98,
5/13/14,54.74,54.83,54.5,54.62,12310700,54.24,
5/12/14,54.27,54.7,54.03,54.65,12825500,54.27,
5/9/14,54.22,54.31,53.68,54.01,12366500,53.64,
5/8/14,54.2,54.53,54.06,54.36,16090800,53.98,
5/7/14,53.55,54.12,53.24,54.05,18502600,53.67,
5/6/14,54.04,54.06,53.32,53.34,25327400,52.97,
5/5/14,53.88,54.74,53.7,54.22,25232300,53.84,
5/2/14,55.83,56.37,55.44,55.58,15153800,55.19,
5/1/14,55.92,56.19,55.5,55.72,12744600,55.33,
4/30/14,56.24,56.35,55.72,55.98,14388100,55.59,
4/29/14,55.73,56.31,55.57,56.1,13453400,55.71,
4/28/14,55.63,55.7,54.68,55.49,21394100,55.1,
4/25/14,56.31,56.35,55.64,55.7,15937700,55.31,
4/24/14,56.07,56.26,55.61,56.19,15360600,55.8,
4/23/14,55.8,56.12,55.56,56.05,11379000,55.66,
4/22/14,55.04,56.08,54.94,55.81,16257600,55.42,
4/21/14,55.26,55.41,54.99,55.03,12384800,54.65,
4/17/14,55.34,55.57,55.01,55.22,17955400,54.84,
4/16/14,55,55.35,54.69,55.26,27049400,54.88,
4/15/14,55.09,55.64,54.35,54.8,26691400,54.42,
4/14/14,55.85,55.94,54.48,54.96,31081500,54.58,
4/11/14,55.18,56.05,54.55,55.3,47241300,54.92,
4/10/14,59.35,59.39,57.38,57.4,29977200,57,
4/9/14,59.1,59.45,58.5,59.27,15308400,58.86,
4/8/14,58.8,59.02,58.25,58.85,16956500,58.44,
4/7/14,59.69,60,58.84,59,18685700,58.59,
4/4/14,61.02,61.06,59.8,59.81,16966900,59.39,
4/3/14,60.65,60.8,60.28,60.66,11925200,60.24,
4/2/14,60.37,60.77,60.2,60.48,14012200,60.06,
4/1/14,60.95,61.29,60.37,60.67,14584400,59.87,
3/31/14,60.83,61.02,60.6,60.71,15216700,59.91,
3/28/14,60.21,60.59,59.68,60.04,14708700,59.25,
3/27/14,59.94,60.55,59.02,59.92,24632600,59.13,
3/26/14,61.24,61.4,59.89,59.9,22745200,59.11,
3/25/14,61.11,61.48,60.56,60.93,24053500,60.13,
3/24/14,60.37,61.19,60.35,61.07,25810500,60.27,
3/21/14,60.96,61.2,60,60.17,35144100,59.38,
3/20/14,58.36,60.49,58.13,60.11,33736500,59.32,
3/19/14,57.99,58.93,57.89,58.3,21450700,57.53,
3/18/14,57.82,58.16,57.62,58.06,12554800,57.3,
3/17/14,57.21,57.7,57.05,57.58,13581400,56.82,
3/14/14,57.11,57.53,56.62,56.8,18635800,56.05,
3/13/14,58,58.34,57.19,57.42,17192500,56.66,
3/12/14,57.7,57.96,57.42,57.92,17932100,57.16,
3/11/14,59.42,59.45,58.13,58.19,19420000,57.42,
3/10/14,59.14,59.48,58.87,59.2,16945200,58.42,
3/7/14,59.35,59.8,59.07,59.4,18602200,58.62,
3/6/14,58.51,59.09,58.4,58.9,19420600,58.12,
3/5/14,57.48,58.29,57.36,58.16,17761500,57.39,
3/4/14,56.95,57.36,56.64,57.26,17157000,56.51,
3/3/14,56.3,56.42,55.69,56.21,19151000,55.47,
2/28/14,56.57,57.45,56.39,56.82,18599000,56.07,
2/27/14,56.78,56.89,56.14,56.69,16277500,55.94,
2/26/14,57.37,57.38,56.22,56.75,23661700,56,
2/25/14,57.9,57.98,56.92,57.03,17991800,56.28,
2/24/14,57.62,58.23,57.58,58.03,16151400,57.27,
2/21/14,57.59,57.84,57.37,57.61,16790100,56.85,
2/20/14,57.53,57.97,57.27,57.58,12457000,56.82,
2/19/14,58.36,58.54,57.22,57.26,18669900,56.51,
2/18/14,58.02,58.65,57.9,58.49,14983800,57.72,
2/14/14,57.89,58.23,57.75,58.15,13067300,57.38,
2/13/14,57.07,58.1,56.96,58.03,16605500,57.27,
2/12/14,57.34,57.71,57.16,57.52,13437900,56.76,
2/11/14,56.61,57.57,56.58,57.43,18774100,56.67,
2/10/14,56.77,56.92,56.39,56.74,14715200,55.99,
2/7/14,56.65,56.93,56.26,56.62,23388500,55.87,
2/6/14,55.35,56.55,55.2,56.48,20881600,55.74,
2/5/14,55.1,55.45,54.58,55.21,19491600,54.48,
2/4/14,54.72,55.35,54.6,54.95,20709300,54.23,
2/3/14,55.5,55.92,54.2,54.31,28549900,53.6,
1/31/14,55.5,56.11,55.18,55.36,18174000,54.63,
1/30/14,56.07,56.39,55.63,56,17031100,55.26,
1/29/14,54.96,55.87,54.85,55.53,25459000,54.8,
1/28/14,55.39,56.34,55.24,55.74,18041000,55.01,
1/27/14,55.08,55.8,54.69,55.09,23935000,54.36,
1/24/14,56,56.36,55.09,55.09,26833100,54.36,
1/23/14,57.09,57.1,56.21,56.47,26234600,55.73,
1/22/14,58.33,58.33,57.42,57.59,15433500,56.83,
1/21/14,58.09,58.44,57.58,58.17,19548300,57.4,
1/17/14,59.21,59.23,58.03,58.11,20997900,57.35,
1/16/14,58.79,59.82,58.74,58.99,21689400,58.21,
1/15/14,57.73,59.65,57.73,59.49,35186600,58.71,
1/14/14,58.3,58.58,57.56,57.74,30272400,56.98,
1/13/14,58.51,58.67,57.53,57.7,20711600,56.94,
1/10/14,58.67,58.76,58.18,58.49,12694900,57.72,
1/9/14,58.98,59,58.33,58.76,13242500,57.99,
1/8/14,58.54,58.91,58.3,58.87,14687400,58.1,
1/7/14,59.29,59.43,58.11,58.32,17851200,57.55,
1/6/14,59.16,59.47,58.83,59,17550700,58.22,
1/3/14,58.29,58.95,58.21,58.66,14214100,57.89,
1/2/14,58.31,58.5,57.97,58.21,15627600,57.44,
12/31/13,58.2,58.55,58.05,58.48,11017400,57.34,
12/30/13,58.14,58.27,57.71,57.95,8815800,56.82,
12/27/13,58.17,58.35,58.06,58.14,8943700,57,
12/26/13,58.35,58.46,57.92,58.2,6677000,57.06,
12/24/13,58.07,58.29,58.04,58.25,4532600,57.11,
12/23/13,57.97,58.39,57.8,58.24,13990600,57.1,
12/20/13,57.21,58,57.2,57.7,22001700,56.57,
12/19/13,57.1,57.54,56.82,57.23,16790000,56.11,
12/18/13,55.84,57.27,55.4,57.24,27685900,56.12,
12/17/13,56.66,56.66,55.66,55.72,18338500,54.63,
12/16/13,56.34,56.94,56.33,56.42,26379200,55.32,
12/13/13,56.37,56.56,56.04,56.17,11461300,55.07,
12/12/13,56.05,56.6,55.91,56.31,15325300,55.21,
12/11/13,56.54,56.77,55.96,56.07,17836100,54.97,
12/10/13,56.49,57.07,56.35,56.7,14543700,55.59,
12/9/13,56.28,56.53,56.09,56.51,12714000,55.4,
12/6/13,56.57,56.76,55.62,56.06,18661200,54.96,
12/5/13,56.71,56.74,55.75,55.82,21324900,54.73,
12/4/13,56.44,57.47,56.21,57.19,20287200,56.07,
12/3/13,56.89,57.22,56.14,56.86,20426800,55.75,
12/2/13,57.1,57.75,56.9,56.98,12465300,55.86,
11/29/13,57.58,57.85,57.2,57.22,7128800,56.1,
11/27/13,57.58,57.83,57.33,57.48,11238900,56.35,
11/26/13,57.63,57.96,57.17,57.17,16263300,56.05,
11/25/13,57.5,58.14,57.41,57.65,18649600,56.52,
11/22/13,57.25,57.52,57.06,57.46,16730600,56.34,
11/21/13,56.28,57.4,56.28,57.22,22843600,56.1,
11/20/13,56.43,56.44,55.77,56.1,17682800,55,
11/19/13,55.97,56.64,55.78,56.15,22979900,55.05,
11/18/13,55.49,56,55.3,55.74,22318800,54.65,
11/15/13,54.27,54.96,54.19,54.87,20530100,53.8,
11/14/13,54.26,54.5,53.7,54.4,17634000,53.34,
11/13/13,53.52,54.2,53.15,54.14,22121900,53.08,
11/12/13,53.93,54.08,53.6,53.97,15964800,52.91,
11/11/13,53.91,54.15,53.7,54.1,12062800,53.04,
11/8/13,51.83,53.97,51.8,53.96,31183100,52.9,
11/7/13,52.13,52.34,51.58,51.65,17348900,50.64,
11/6/13,52.26,52.34,51.83,52.1,14013000,51.08,
11/5/13,51.85,52.13,51.66,51.95,14532200,50.93,
11/4/13,52.74,52.76,52,52.04,18891300,51.02,
11/1/13,51.45,52.71,51.3,52.51,25794400,51.48,
10/31/13,52.65,52.71,51.54,51.54,23738000,50.53,
10/30/13,53,53.24,52.5,52.6,16157200,51.57,
10/29/13,52.83,52.99,52.25,52.73,23363100,51.7,
10/28/13,52.89,53.09,52.5,52.68,14836800,51.65,
10/25/13,52.16,52.91,52.07,52.77,20889600,51.74,
10/24/13,52.84,52.89,52.11,52.48,17759000,51.45,
10/23/13,53.31,53.36,52.72,52.75,21034400,51.72,
10/22/13,54.65,54.68,53.62,53.62,24820900,52.57,
10/21/13,54.27,54.85,53.89,54.27,19471700,53.21,
10/18/13,54.26,54.58,53.8,54.3,24796600,53.24,
10/17/13,53.79,54.29,53.61,54.21,17791000,53.15,
10/16/13,52.61,54.05,52.58,54,24864000,52.94,
10/15/13,52.91,53.04,52.18,52.31,17566500,51.29,
10/14/13,51.94,52.84,51.76,52.71,18881600,51.68,
10/11/13,52.96,53.35,52.16,52.51,32498800,51.48,
10/10/13,51.84,52.56,51.38,52.52,24328700,51.49,
10/9/13,51.17,51.34,50.25,50.75,24721200,49.76,
10/8/13,51.83,51.96,50.84,50.87,19536000,49.87,
10/7/13,52.29,52.36,51.83,51.83,16159300,50.82,
10/4/13,52.07,52.68,52.01,52.67,17407200,51.64,
10/3/13,52,52.2,51.5,51.94,18614500,50.92,
10/2/13,51.32,52.45,51.29,52.09,23841200,51.07,
10/1/13,51.64,52.09,51.45,51.96,19188000,50.57,
9/30/13,51.73,52.09,51.44,51.69,21350600,50.31,
9/27/13,51.5,52.4,51.39,52.24,23026000,50.84,
9/26/13,51.93,52.56,51.54,51.89,22298700,50.5,
9/25/13,50.22,51.9,50.06,51.7,39175500,50.32,
9/24/13,51.01,51.27,50.3,50.32,34906900,48.97,
9/23/13,52.08,52.38,51.39,51.46,28189500,50.08,
9/20/13,52.95,53.47,52.8,52.8,30792200,51.39,
9/19/13,53.63,53.75,52.53,52.75,22452200,51.34,
