Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,92.94,93.84,92.82,93.34,7791300,93.34,McDonald's Corp
9/11/14,92.94,93.29,92.42,92.96,5960100,92.96,
9/10/14,90.84,93.06,90.53,93,12031400,93,
9/9/14,92.6,92.7,90.96,91.09,9795200,91.09,
9/8/14,92.8,92.82,92.2,92.5,5251900,92.5,
9/5/14,93.1,93.12,92.8,93.07,4004600,93.07,
9/4/14,93.02,93.23,92.8,93.01,4849800,93.01,
9/3/14,93.27,93.49,93.04,93.14,4855300,93.14,
9/2/14,93.24,93.7,92.69,92.8,6727100,92.8,
8/29/14,94.2,94.2,93.51,93.72,4635100,93.72,
8/28/14,93.65,94.76,93.51,94.14,5492400,94.14,
8/27/14,94.23,94.68,93.6,94.65,9027300,93.84,
8/26/14,94.39,94.79,94.05,94.11,6392400,93.3,
8/25/14,94.85,95.37,94.41,94.44,4614300,93.63,
8/22/14,94.53,94.86,94.27,94.45,3586900,93.64,
8/21/14,94.31,94.76,94.24,94.53,5981600,93.72,
8/20/14,94.45,94.66,94,94.19,4150400,93.38,
8/19/14,94.6,94.75,94.26,94.45,3331700,93.64,
8/18/14,94.15,94.74,93.93,94.25,4398800,93.44,
8/15/14,94.07,94.47,93.41,93.79,4281300,92.99,
8/14/14,93.65,93.89,93.26,93.66,5644500,92.86,
8/13/14,93.75,94.32,93.55,93.96,3599900,93.16,
8/12/14,93.43,93.65,93.15,93.56,3235900,92.76,
8/11/14,93.73,93.92,93.46,93.53,4288400,92.73,
8/8/14,93.07,93.84,92.92,93.55,6505900,92.75,
8/7/14,93.82,94,93.24,93.31,3261100,92.51,
8/6/14,93.39,93.95,93.36,93.47,3728000,92.67,
8/5/14,94,94.3,93.35,93.43,5494800,92.63,
8/4/14,94.3,94.35,93.52,94.31,7652700,93.5,
8/1/14,94.3,94.73,94.2,94.3,4576400,93.49,
7/31/14,95.22,95.36,94.56,94.56,6826000,93.75,
7/30/14,96.19,96.34,95.57,95.95,6049800,95.13,
7/29/14,95.89,96.42,95.71,95.82,6712700,95,
7/28/14,95.5,95.97,95.39,95.78,4863100,94.96,
7/25/14,95.36,95.85,95.32,95.72,4992500,94.9,
7/24/14,95.48,95.62,95.27,95.35,7781700,94.53,
7/23/14,95.51,95.82,94.82,95.35,9483200,94.53,
7/22/14,95.39,96.85,95.1,96.27,12398100,95.45,
7/21/14,98.52,98.63,97.55,97.55,6510600,96.72,
7/18/14,98.64,99.09,98.13,98.99,4044900,98.14,
7/17/14,98.96,99.09,98.35,98.37,4099100,97.53,
7/16/14,99.65,99.8,98.76,99.27,7128700,98.42,
7/15/14,100.32,100.37,99.86,100.3,3787000,99.44,
7/14/14,100.69,100.73,100.3,100.47,4159900,99.61,
7/11/14,100.66,100.81,100.03,100.37,2812500,99.51,
7/10/14,100.22,101.05,100.16,100.58,3274900,99.72,
7/9/14,100.3,101.25,100.26,101.07,5604900,100.21,
7/8/14,99.79,100.57,99.73,100.09,3115100,99.23,
7/7/14,100.75,100.75,99.82,100.17,3951700,99.31,
7/3/14,101.32,101.32,100.74,100.98,2295800,100.12,
7/2/14,101.02,101.08,100.35,100.53,3216700,99.67,
7/1/14,100.43,101.36,100.24,101,3787700,100.14,
6/30/14,101.27,101.48,100.5,100.74,4265700,99.88,
6/27/14,101.25,101.67,101.15,101.46,2785500,100.59,
6/26/14,101.61,101.89,101.07,101.51,2783200,100.64,
6/25/14,101.09,101.9,101.03,101.61,3662000,100.74,
6/24/14,101.84,102.18,101.41,101.47,4586400,100.6,
6/23/14,101.64,101.99,101.51,101.91,2919000,101.04,
6/20/14,102.2,102.3,101.66,101.92,5418100,101.05,
6/19/14,101.04,102.03,101.04,101.91,3372200,101.04,
6/18/14,101.74,101.79,100.91,101.35,5441200,100.48,
6/17/14,100.91,101.84,100.82,101.27,6479700,100.4,
6/16/14,100.42,101.17,100.24,101.1,4038600,100.23,
6/13/14,99.41,100.59,99.41,100.49,4014600,99.63,
6/12/14,100.41,101.01,99.54,99.76,5609100,98.91,
6/11/14,100.74,100.96,100.33,100.42,6606100,99.56,
6/10/14,101.61,101.61,100.68,100.88,5961200,100.02,
6/9/14,101.59,102,101.18,101.38,3802600,100.51,
6/6/14,102.41,102.62,101.78,101.96,2955500,101.09,
6/5/14,102.34,102.6,101.75,102.45,2407800,101.57,
6/4/14,101.36,102.47,101.27,102.44,3589200,101.56,
6/3/14,101.64,102,101.41,101.45,3363500,100.58,
6/2/14,101.39,102.5,101.32,102.03,3001400,101.16,
5/30/14,101.25,101.46,100.71,101.43,4232800,100.56,
5/29/14,101.27,101.49,100.87,101.34,4123700,100.47,
5/28/14,101.84,102.04,100.87,101.3,8930700,99.63,
5/27/14,102.2,102.9,102.07,102.36,5093200,100.67,
5/23/14,102.52,102.85,101.77,102,4174300,100.32,
5/22/14,102.65,102.98,102.23,102.45,3376000,100.76,
5/21/14,101.71,102.58,101.55,102.56,2735600,100.87,
5/20/14,102.05,102.44,101.44,101.53,3123700,99.86,
5/19/14,102.81,102.83,101.74,102.09,3859800,100.41,
5/16/14,102.55,103.39,102.35,103.14,5081000,101.44,
5/15/14,102.78,103,102.15,102.5,3810800,100.81,
5/14/14,103.69,103.78,102.54,103.03,3826300,101.33,
5/13/14,103.32,103.62,102.5,103.53,3955400,101.82,
5/12/14,102.95,103.33,102.79,102.86,3817400,101.16,
5/9/14,101.85,102.95,101.82,102.93,3649400,101.23,
5/8/14,102,102.18,101.43,101.95,3384500,100.27,
5/7/14,101.26,102.11,100.95,101.96,4322600,100.28,
5/6/14,101.06,101.3,100.8,100.95,3075100,99.29,
5/5/14,101.38,101.38,100.59,101.14,3483500,99.47,
5/2/14,101.11,102.28,100.99,101.43,4934000,99.76,
5/1/14,100.68,101.04,100.33,100.96,3531400,99.3,
4/30/14,101.55,101.76,101.04,101.38,4519800,99.71,
4/29/14,100.21,101.78,99.81,101.5,6626100,99.83,
4/28/14,100.98,101.18,99.65,100.31,7444500,98.66,
4/25/14,99.85,100.75,99.39,100.73,5047100,99.07,
4/24/14,99.52,100.1,99.13,99.84,4764900,98.19,
4/23/14,99.35,99.99,99.01,99.13,4179100,97.5,
4/22/14,100.02,100.27,98.89,99.32,8934300,97.68,
4/21/14,99.8,100.39,99.25,99.67,6357000,98.03,
4/17/14,100.73,101,100.25,100.25,4545200,98.6,
4/16/14,101,101.12,100.49,100.83,3532700,99.17,
4/15/14,100.7,100.94,100.07,100.83,5882400,99.17,
4/14/14,99.66,100.16,99.32,100.11,6155900,98.46,
4/11/14,99.15,99.73,99.06,99.29,6553600,97.65,
4/10/14,98.55,99.85,98.16,99.43,8873000,97.79,
4/9/14,98.08,98.54,97.9,98.35,3669500,96.73,
4/8/14,96.98,98.22,96.52,98.08,5579500,96.46,
4/7/14,97.58,98.24,96.57,97.01,5994600,95.41,
4/4/14,97.77,98.42,97.39,97.87,5409000,96.26,
4/3/14,98.03,98.11,97.35,97.66,2575700,96.05,
4/2/14,98.15,98.23,97.34,97.59,3701200,95.98,
4/1/14,98.1,98.52,97.63,97.9,4494000,96.29,
3/31/14,97.44,98.45,97.3,98.03,4853300,96.41,
3/28/14,96.27,97.44,96.21,97.24,4344100,95.64,
3/27/14,95.77,96.36,95.52,96.16,3756000,94.57,
3/26/14,96.04,96.57,95.84,95.84,4127000,94.26,
3/25/14,96.44,96.49,95.83,95.91,4929800,94.33,
3/24/14,96.09,96.74,95.99,96.18,6393000,94.59,
3/21/14,97.22,97.4,95.47,95.47,12625800,93.9,
3/20/14,95.94,96.95,95.81,96.6,4242600,95.01,
3/19/14,97.27,97.29,95.78,96.1,5556900,94.52,
3/18/14,97.8,97.99,97.22,97.31,3269500,95.71,
3/17/14,98.14,98.2,97.46,97.6,5554300,95.99,
3/14/14,97.33,97.89,97.01,97.58,5510700,95.97,
3/13/14,98.9,98.9,97.01,97.37,5480200,95.76,
3/12/14,98.41,99.07,98.15,98.71,6701700,97.08,
3/11/14,95.94,98.92,95.71,98.78,16354400,97.15,
3/10/14,95.26,95.68,94.97,95.2,4388900,93.63,
3/7/14,95.74,95.79,94.97,95.5,3724000,93.93,
3/6/14,95.06,95.67,94.75,95.58,4362900,94,
3/5/14,95.34,95.61,94.94,95.02,3913300,93.45,
3/4/14,95.25,95.27,94.86,94.98,4655200,93.41,
3/3/14,94.24,94.8,94,94.32,5149300,92.77,
2/28/14,95.11,95.46,94.86,95.15,5104700,93.58,
2/27/14,95.24,95.41,94.65,95.08,4179600,93.51,
2/26/14,96.63,96.74,95.71,95.89,4265900,93.51,
2/25/14,96.46,96.72,95.89,96.62,4233600,94.22,
2/24/14,96.43,96.94,96.24,96.5,4472200,94.11,
2/21/14,96.04,97,96.04,96.45,5284300,94.06,
2/20/14,95.66,96.11,95.49,95.75,2975000,93.38,
2/19/14,95.78,96.66,95.46,95.55,4505500,93.18,
2/18/14,96.03,96.57,95.54,96.02,5454200,93.64,
2/14/14,95.3,95.97,95.11,95.78,3532900,93.41,
2/13/14,94.69,95.58,94.5,95.46,3617900,93.09,
2/12/14,95.44,95.67,94.79,94.89,4268900,92.54,
2/11/14,95.06,95.84,94.83,95.34,5343500,92.98,
2/10/14,95.75,95.93,94.52,94.86,6968200,92.51,
2/7/14,95.09,95.95,94.62,95.92,6591200,93.54,
2/6/14,93.87,95.19,93.69,94.94,5356900,92.59,
2/5/14,92.8,93.84,92.22,93.58,4958900,91.26,
2/4/14,92.86,93.47,92.59,93.09,6300400,90.78,
2/3/14,94.54,94.74,92.91,93.02,6904700,90.71,
1/31/14,93.05,94.55,92.95,94.17,5972500,91.84,
1/30/14,93.39,94,92.93,93.8,4987400,91.47,
1/29/14,93.96,94.3,92.87,93.15,8013500,90.84,
1/28/14,94.33,94.64,94.1,94.18,3682800,91.84,
1/27/14,94.29,94.68,93.92,94.07,6607600,91.74,
1/24/14,94.73,95.96,94.39,94.43,6944800,92.09,
1/23/14,94.55,95.95,94.5,95.32,7146000,92.96,
1/22/14,95.07,95.32,94.69,94.88,4976400,92.53,
1/21/14,95.36,95.96,95.01,95.08,6462700,92.72,
1/17/14,96.02,96.13,94.77,94.93,5975300,92.58,
1/16/14,95.4,96.3,95.19,96.06,5058000,93.68,
