Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,59.88,60.13,59.26,59.55,7021800,59.55,Merck & Co Inc
9/11/14,60.21,60.44,59.81,60.1,7785200,60.1,
9/10/14,60.67,60.87,60.35,60.76,9212800,60.32,
9/9/14,60.84,61.03,60.47,60.56,7443700,60.12,
9/8/14,61.22,61.33,60.83,61.05,8420400,60.61,
9/5/14,60.42,61.18,60.15,61.18,10744200,60.74,
9/4/14,60.57,61,59.92,60.08,10809000,59.64,
9/3/14,60.12,60.86,60.06,60.48,9096200,60.04,
9/2/14,59.73,60.1,59.67,59.79,6054500,59.36,
8/29/14,60.42,60.42,59.83,60.11,5715800,59.67,
8/28/14,59.89,60.23,59.84,60,5241000,59.57,
8/27/14,60.4,60.58,60.11,60.28,6546700,59.84,
8/26/14,59.67,60.4,59.66,60.2,9220600,59.76,
8/25/14,59.34,59.87,59.26,59.73,5170800,59.3,
8/22/14,59.04,59.36,58.9,59.17,5187600,58.74,
8/21/14,59.4,59.66,58.79,58.85,7646800,58.42,
8/20/14,58.68,59.57,58.53,59.48,7038400,59.05,
8/19/14,58.85,58.95,58.34,58.91,7435000,58.48,
8/18/14,58.8,58.87,58.35,58.42,9443900,58,
8/15/14,58.8,59,58.03,58.61,9046800,58.19,
8/14/14,58.05,58.79,58,58.78,7932300,58.35,
8/13/14,57.39,57.89,57.16,57.85,10670400,57.43,
8/12/14,56.55,57.14,56.52,57.03,7090200,56.62,
8/11/14,56.7,57.05,56.46,56.66,5499100,56.25,
8/8/14,55.87,56.61,55.58,56.55,7081500,56.14,
8/7/14,56.21,56.56,55.57,55.64,7215500,55.24,
8/6/14,55.88,56.14,55.72,55.93,12275800,55.52,
8/5/14,56.72,56.97,55.82,56.03,9031200,55.62,
8/4/14,56.95,57.27,56.36,57.06,8649500,56.65,
8/1/14,56.58,57.12,56.28,56.8,10141000,56.39,
7/31/14,57.76,58.07,56.72,56.74,10119000,56.33,
7/30/14,58.58,58.85,57.61,58.08,8051800,57.66,
7/29/14,58.82,59.28,58.14,58.58,10328000,58.16,
7/28/14,58.17,58.34,57.85,57.97,8600700,57.55,
7/25/14,58.13,58.36,57.92,58.15,5525100,57.73,
7/24/14,58.32,58.5,57.92,58.21,10064200,57.79,
7/23/14,58.3,58.5,58.05,58.11,6292400,57.69,
7/22/14,58.13,58.88,58.13,58.43,6509200,58.01,
7/21/14,57.89,58.19,57.71,58,7095700,57.58,
7/18/14,57.92,58.43,57.62,58.34,7432700,57.92,
7/17/14,57.87,58.24,57.57,57.6,6649700,57.18,
7/16/14,57.94,58.21,57.73,58.15,6805000,57.73,
7/15/14,58.13,58.4,57.49,57.91,10158100,57.49,
7/14/14,58.62,58.67,58.06,58.18,8379100,57.76,
7/11/14,58.65,58.74,58.16,58.44,6106800,58.02,
7/10/14,58.28,58.77,57.73,58.58,5583700,58.16,
7/9/14,58.45,58.72,58.18,58.55,6938700,58.13,
7/8/14,58.66,58.67,57.91,58.17,8270100,57.75,
7/7/14,58.91,59.65,58.49,58.52,9276200,58.1,
7/3/14,59.39,59.45,59.07,59.2,5220100,58.77,
7/2/14,58.47,59.1,58.37,59.05,6941000,58.62,
7/1/14,57.7,58.64,57.48,58.51,8838000,58.09,
6/30/14,57.61,58.2,57.53,57.85,8735000,57.43,
6/27/14,58.37,58.52,57.48,57.53,17285700,57.11,
6/26/14,58.76,58.77,58.25,58.53,7238300,58.11,
6/25/14,57.73,59.32,57.72,58.86,13274300,58.43,
6/24/14,58.38,58.76,57.88,57.92,8158500,57.5,
6/23/14,58.81,58.98,58.41,58.5,7054400,58.08,
6/20/14,58.61,59.28,58.44,58.92,14418000,58.49,
6/19/14,58.42,58.42,58.1,58.3,6011900,57.88,
6/18/14,58.03,58.45,57.81,58.41,7837000,57.99,
6/17/14,57.95,58.22,57.78,58.06,6266700,57.64,
6/16/14,58.06,58.38,57.73,58.07,7731500,57.65,
6/13/14,58.11,58.65,57.98,58.24,8398500,57.82,
6/12/14,58.28,58.72,58.06,58.3,9563900,57.88,
6/11/14,58.52,59.03,58.4,58.81,11696800,57.95,
6/10/14,57.92,58.5,57.92,58.49,7663700,57.63,
6/9/14,57.49,57.97,57.24,57.94,8082900,57.09,
6/6/14,58.2,58.26,57.68,57.85,6703200,57,
6/5/14,57.97,58.47,57.72,58.1,7640600,57.25,
6/4/14,57.78,58.01,57.51,57.93,6875400,57.08,
6/3/14,57.52,57.96,57.37,57.91,7078100,57.06,
6/2/14,57.91,58.2,57.48,57.93,6425500,57.08,
5/30/14,57.52,58.27,57.52,57.86,11519000,57.01,
5/29/14,56.91,57.79,56.6,57.7,8513700,56.85,
5/28/14,56.71,56.73,56.4,56.4,6843100,55.57,
5/27/14,56.93,57.04,56.47,56.69,7301800,55.86,
5/23/14,56.63,56.98,56.45,56.81,6053000,55.98,
