Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,81.97,82,81.41,81.84,2963100,81.84,Nike Inc
9/11/14,82.16,82.59,81.54,81.82,3730200,81.82,
9/10/14,81.73,82.61,81.5,82.47,3371200,82.47,
9/9/14,82.27,82.54,81.51,81.84,4059500,81.84,
9/8/14,81.92,82.79,81.09,82.4,5864100,82.4,
9/5/14,79.54,82.11,79.35,82.04,6190300,82.04,
9/4/14,79.2,80.22,79.18,79.92,3011400,79.92,
9/3/14,79.79,79.88,78.54,78.82,2204800,78.82,
9/2/14,78.35,79.52,78.35,79.28,4082100,79.28,
8/29/14,78.85,78.94,78.27,78.55,3211500,78.55,
8/28/14,79.02,79.22,78.66,78.82,2584600,78.82,
8/27/14,79.99,79.99,79.42,79.72,1839700,79.48,
8/26/14,80.03,80.1,79.42,79.48,2608200,79.24,
8/25/14,79.6,80.3,79.5,80.01,2537200,79.77,
8/22/14,79.25,79.73,78.92,79.29,2903700,79.05,
8/21/14,79.04,79.4,78.65,78.94,2000900,78.7,
8/20/14,78.19,79.08,78.19,78.91,1982900,78.67,
8/19/14,78.71,79.09,78.35,78.51,2212000,78.27,
8/18/14,77.73,78.69,77.57,78.55,2848700,78.31,
8/15/14,77.72,78,76.49,77.13,2245000,76.9,
8/14/14,77.52,77.81,76.96,77.3,1967500,77.07,
8/13/14,77.08,77.79,76.54,77.25,3200200,77.02,
8/12/14,77,77.44,76.49,76.73,4571000,76.5,
8/11/14,77.48,77.5,76.98,77.06,3914300,76.83,
8/8/14,76.31,77.1,75.9,77.06,3357400,76.83,
8/7/14,77.7,77.73,75.98,76.35,3368700,76.12,
8/6/14,76.51,77.24,76.45,77.14,2537200,76.91,
8/5/14,76.76,77.64,76.53,76.92,2433100,76.69,
8/4/14,76.88,77.41,76.29,77.16,2419700,76.93,
8/1/14,76.54,77.25,76.39,76.78,2912900,76.55,
7/31/14,78.66,79.02,76.98,77.13,3898400,76.9,
7/30/14,78.39,79.94,78.28,79.61,4524100,79.37,
7/29/14,78.42,78.86,78.1,78.1,2334800,77.86,
7/28/14,77.93,78.6,77.52,78.4,2032600,78.16,
7/25/14,78.34,78.78,77.61,77.72,2270200,77.49,
7/24/14,77.94,78.77,77.86,78.6,4015100,78.36,
7/23/14,77.26,77.45,76.83,77.37,2046100,77.14,
7/22/14,77.11,77.64,77,77.04,2518000,76.81,
7/21/14,76.83,77.3,76.7,76.82,2104700,76.59,
7/18/14,76.85,77.71,76.67,77.52,3032600,77.29,
7/17/14,76.43,76.97,76.3,76.53,3730800,76.3,
7/16/14,77.85,78.23,76.77,76.92,3724800,76.69,
7/15/14,77.52,78.21,77.48,78.03,3253000,77.8,
7/14/14,77.95,78.19,77.59,77.95,2751700,77.72,
7/11/14,77.28,77.59,76.76,77.29,2879000,77.06,
7/10/14,77.27,77.81,76.79,77.5,3178500,77.27,
7/9/14,77.78,78.77,77.69,78.69,3514400,78.45,
7/8/14,78.31,78.41,77.07,77.67,4022200,77.44,
7/7/14,78,78.83,77.94,78.65,2732400,78.41,
7/3/14,77.53,78.62,77,78.45,2284300,78.21,
7/2/14,78.06,78.41,77.69,77.79,2788600,77.56,
7/1/14,77.73,78.54,77.73,78,3564600,77.77,
6/30/14,77.51,77.73,77.09,77.55,4267900,77.32,
6/27/14,78.53,79.15,77.68,77.68,9069200,77.45,
6/26/14,76.57,76.91,75.67,76.86,5261300,76.63,
6/25/14,75.03,76.54,75.03,76.47,3586100,76.24,
6/24/14,75.39,75.97,74.93,74.98,3808500,74.75,
6/23/14,75.1,75.61,74.4,75.45,4534600,75.22,
6/20/14,76.09,76.13,75.05,75.1,5692800,74.87,
6/19/14,76.43,76.45,75.21,75.64,2488800,75.41,
6/18/14,75.24,76.36,74.72,76.21,4926100,75.98,
6/17/14,74.77,75.16,74.25,75.09,3061100,74.86,
6/16/14,74.81,75.3,74.4,74.55,3265700,74.33,
6/13/14,74.74,74.93,73.14,74.62,3856100,74.4,
6/12/14,75.19,75.44,74.58,74.77,3165300,74.54,
6/11/14,75.67,75.8,74.9,75.14,4625000,74.91,
6/10/14,76.34,76.92,76.24,76.31,2575100,76.08,
6/9/14,76.1,76.91,76.1,76.67,2514300,76.44,
6/6/14,76.16,76.87,76.15,76.23,3318800,76,
6/5/14,76.31,76.54,75.32,75.87,3663200,75.64,
6/4/14,75.44,76.36,75.42,76.13,3678400,75.9,
6/3/14,76.42,76.61,75.48,75.55,3396700,75.32,
6/2/14,76.99,76.99,76.3,76.72,1904800,76.49,
5/30/14,76.4,76.93,76.3,76.91,2596200,76.68,
5/29/14,76.2,76.64,75.99,76.38,1993800,76.15,
5/28/14,76.53,76.61,75.92,76.27,2365000,75.8,
5/27/14,76.44,76.85,76.22,76.61,3349000,76.14,
5/23/14,75.13,76.32,74.96,75.85,3667600,75.38,
