Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,29.47,29.6,29.34,29.43,18204700,29.43,Pfizer Inc
9/11/14,29.39,29.64,29.28,29.63,18622900,29.63,
9/10/14,29.25,29.53,29.16,29.44,19421300,29.44,
9/9/14,29.42,29.44,29.01,29.23,21622700,29.23,
9/8/14,29.58,29.65,29.3,29.4,14522200,29.4,
9/5/14,29.3,29.66,29.21,29.65,17543800,29.65,
9/4/14,29.53,29.55,29.3,29.37,22343200,29.37,
9/3/14,29.45,29.53,29.23,29.4,21118100,29.4,
9/2/14,29.21,29.41,29.16,29.26,20696300,29.26,
8/29/14,29.46,29.49,29.29,29.39,16772000,29.39,
8/28/14,29.43,29.67,29.36,29.38,20582200,29.38,
8/27/14,29.47,29.57,29.37,29.49,21941700,29.49,
8/26/14,29.03,29.31,28.96,29.21,17148500,29.21,
8/25/14,28.93,29.09,28.91,28.91,16867700,28.91,
8/22/14,28.86,28.98,28.82,28.92,16280400,28.92,
8/21/14,28.92,28.99,28.74,28.82,24297500,28.82,
8/20/14,28.83,28.98,28.74,28.89,14997800,28.89,
8/19/14,28.97,29.03,28.69,28.94,18823300,28.94,
8/18/14,28.75,28.94,28.69,28.84,22935000,28.84,
8/15/14,28.86,28.9,28.41,28.64,21722700,28.64,
8/14/14,28.26,28.79,28.17,28.73,19993800,28.73,
8/13/14,28.25,28.44,28.18,28.21,17429500,28.21,
8/12/14,28.26,28.36,28.03,28.08,20432900,28.08,
8/11/14,28.53,28.59,28.19,28.25,22055800,28.25,
8/8/14,28.08,28.4,27.87,28.34,30110300,28.34,
8/7/14,28.44,28.44,27.92,28.04,30515300,28.04,
8/6/14,28.3,28.39,28.09,28.28,23380200,28.28,
8/5/14,28.58,28.71,28.29,28.41,27686500,28.41,
8/4/14,28.95,28.96,28.6,28.75,24144700,28.75,
8/1/14,28.7,29.1,28.69,28.86,31341600,28.86,
7/31/14,29.26,29.32,28.7,28.7,38348200,28.7,
7/30/14,29.51,29.54,29.03,29.26,33990600,29.26,
7/29/14,30.33,30.49,29.69,29.73,37913600,29.47,
7/28/14,29.79,30.17,29.78,30.1,27288700,29.84,
7/25/14,30.32,30.35,30.08,30.19,14501500,29.93,
7/24/14,30.37,30.57,30.32,30.34,14839000,30.07,
7/23/14,30.69,30.69,30.32,30.39,21115400,30.12,
7/22/14,30.55,30.71,30.4,30.49,18742300,30.22,
7/21/14,30.43,30.64,30.3,30.35,22763400,30.08,
7/18/14,30.53,30.75,30.34,30.73,24403200,30.46,
7/17/14,30.8,31.31,30.52,30.55,32682200,30.28,
7/16/14,30.51,30.97,30.37,30.96,35413300,30.69,
7/15/14,30.2,30.62,30.2,30.41,30361000,30.14,
7/14/14,30.19,30.33,30.1,30.24,20483700,29.98,
7/11/14,30.04,30.12,29.8,30.07,18359500,29.81,
7/10/14,29.76,30.04,29.58,30,20114200,29.74,
7/9/14,30.12,30.2,29.9,30.05,20679300,29.79,
7/8/14,30.48,30.49,30.02,30.15,22440400,29.89,
7/7/14,30.49,30.63,30.38,30.49,17593400,30.22,
7/3/14,30.61,30.64,30.29,30.53,14852900,30.26,
7/2/14,30.06,30.42,30,30.37,18501700,30.1,
7/1/14,29.61,30.22,29.59,30.08,25600200,29.82,
6/30/14,29.76,29.84,29.62,29.68,20566300,29.42,
6/27/14,29.67,29.75,29.48,29.67,30672500,29.41,
6/26/14,29.72,29.79,29.48,29.59,19472200,29.33,
6/25/14,29.15,29.84,29.15,29.8,31518000,29.54,
6/24/14,29.43,29.48,29.3,29.3,23354100,29.04,
6/23/14,29.81,29.85,29.33,29.45,25188500,29.19,
6/20/14,29.74,29.92,29.63,29.78,31303000,29.52,
6/19/14,29.7,29.71,29.5,29.59,20307900,29.33,
6/18/14,29.53,29.71,29.34,29.71,19338200,29.45,
6/17/14,29.58,29.62,29.44,29.48,18283400,29.22,
6/16/14,29.5,29.71,29.32,29.61,25028500,29.35,
6/13/14,29.46,29.6,29.36,29.53,19604300,29.27,
6/12/14,29.38,29.59,29.35,29.45,24118100,29.19,
6/11/14,29.46,29.55,29.38,29.43,18743500,29.17,
6/10/14,29.34,29.5,29.25,29.5,18212300,29.24,
6/9/14,29.38,29.43,29.2,29.35,24414500,29.09,
6/6/14,29.81,29.87,29.34,29.42,26817100,29.16,
6/5/14,29.69,29.79,29.48,29.76,19357600,29.5,
6/4/14,29.61,29.74,29.52,29.64,23406800,29.38,
6/3/14,29.77,29.82,29.55,29.59,24199900,29.33,
6/2/14,29.59,29.8,29.59,29.71,19999100,29.45,
5/30/14,29.56,29.75,29.51,29.63,26241100,29.37,
5/29/14,29.73,29.76,29.53,29.6,24470100,29.34,
5/28/14,29.7,29.82,29.6,29.61,27369300,29.35,
5/27/14,29.93,29.99,29.57,29.61,26929400,29.35,
5/23/14,29.57,29.64,29.43,29.49,18933500,29.23,
5/22/14,29.56,29.87,29.55,29.66,21451900,29.4,
5/21/14,29.25,29.92,29.2,29.57,21443800,29.31,
5/20/14,29.54,29.54,29.21,29.25,24872200,28.99,
5/19/14,29.58,29.71,29.25,29.28,40990400,29.02,
5/16/14,29,29.55,29,29.12,35704300,28.87,
5/15/14,29.07,29.18,28.91,29.06,26836900,28.81,
5/14/14,29.14,29.28,28.92,29.1,26780700,28.85,
5/13/14,29.11,29.4,29.1,29.2,26287400,28.94,
5/12/14,29.34,29.38,29.03,29.13,21654700,28.88,
5/9/14,29.1,29.21,28.77,29.03,38996300,28.78,
5/8/14,29.12,29.44,28.98,29.17,36093400,28.91,
5/7/14,29.14,29.48,28.85,29.02,49054400,28.77,
5/6/14,30,30.01,29.33,29.43,54719800,28.91,
5/5/14,30.26,30.27,29.85,29.96,54902600,29.44,
5/2/14,31.02,31.06,30.55,30.75,41708500,30.21,
5/1/14,31.08,31.58,30.94,31.15,41507800,30.6,
4/30/14,31.76,31.94,31.22,31.28,36534500,30.73,
4/29/14,32.06,32.09,31.4,31.76,39659100,31.2,
4/28/14,31.59,32.35,31.37,32.04,71421600,31.48,
4/25/14,30.73,30.8,30.55,30.75,18669500,30.21,
4/24/14,30.9,30.9,30.2,30.71,24963800,30.17,
4/23/14,31.18,31.18,30.76,30.92,20493200,30.38,
4/22/14,30.85,31.25,30.85,31,25974800,30.46,
4/21/14,30.54,30.94,30.4,30.86,30334900,30.32,
4/17/14,30.15,30.4,30.07,30.25,26536800,29.72,
4/16/14,30.15,30.22,29.92,30.09,29503800,29.56,
4/15/14,29.97,30.15,29.6,29.89,30079100,29.37,
4/14/14,30.05,30.13,29.58,29.87,28833800,29.35,
4/11/14,30.5,30.5,29.83,29.86,40821100,29.34,
4/10/14,31.38,31.43,30.51,30.61,30444700,30.07,
4/9/14,30.99,31.25,30.62,31.23,38687000,30.68,
4/8/14,31.26,31.39,30.85,30.87,34572700,30.33,
4/7/14,31.48,31.71,31.05,31.2,54582500,30.65,
4/4/14,32.52,32.69,32.07,32.16,26274500,31.6,
4/3/14,32.43,32.49,32.18,32.4,20036000,31.83,
4/2/14,31.92,32.39,31.81,32.29,21615400,31.72,
4/1/14,31.93,32.25,31.75,31.95,21836600,31.39,
3/31/14,31.96,32.18,31.83,32.12,18473200,31.56,
3/28/14,32.2,32.48,31.74,31.88,21969900,31.32,
3/27/14,32.28,32.38,31.9,32.1,27744000,31.54,
3/26/14,32.01,32.41,31.67,32.18,31579500,31.62,
3/25/14,31.77,31.99,31.59,31.82,21137000,31.26,
3/24/14,31.77,31.9,31.33,31.49,41805200,30.94,
3/21/14,32.33,32.49,31.46,32.18,62118800,31.62,
3/20/14,32.12,32.12,31.71,31.91,22695800,31.35,
3/19/14,31.93,32.08,31.39,31.71,23083000,31.15,
3/18/14,31.47,32.06,31.42,31.93,23080400,31.37,
3/17/14,31.41,31.53,31.26,31.42,21264200,30.87,
3/14/14,31.15,31.44,30.83,31.23,27112600,30.68,
3/13/14,31.99,32.02,30.91,31.12,45895700,30.58,
3/12/14,32.15,32.57,31.93,31.98,32517500,31.42,
3/11/14,32.35,32.62,32.24,32.42,24165700,31.85,
3/10/14,32.42,32.55,32.29,32.39,15957400,31.82,
3/7/14,32.51,32.66,32.18,32.43,17610800,31.86,
3/6/14,32.8,32.96,32.41,32.46,20520900,31.89,
3/5/14,32.65,32.95,32.6,32.75,22451400,32.18,
3/4/14,32.34,32.74,32.34,32.69,26325100,32.12,
3/3/14,31.52,32.14,31.52,31.98,23791900,31.42,
2/28/14,32.12,32.41,31.85,32.11,27517600,31.55,
2/27/14,31.87,32.24,31.83,32.23,22753300,31.67,
2/26/14,31.74,32,31.72,31.99,25023400,31.43,
2/25/14,31.55,31.99,31.54,31.89,27196600,31.33,
2/24/14,31.99,32.08,31.53,31.99,38775000,31.43,
2/21/14,31.68,31.77,31.44,31.46,18471400,30.91,
2/20/14,31.34,31.71,31.26,31.55,22456000,31,
2/19/14,31.92,31.96,31.44,31.48,27746900,30.93,
2/18/14,31.81,32.09,31.79,31.88,19687600,31.32,
2/14/14,31.88,32,31.7,31.94,18895600,31.38,
2/13/14,31.5,31.85,31.4,31.7,18867700,31.15,
2/12/14,31.87,32,31.55,31.61,21258500,31.06,
2/11/14,31.79,31.98,31.43,31.88,24740400,31.32,
2/10/14,31.26,31.47,31.13,31.47,22591400,30.92,
2/7/14,30.84,31.28,30.61,31.22,27809100,30.67,
2/6/14,30.71,30.91,30.6,30.84,23567000,30.3,
2/5/14,30.99,31.18,30.58,30.65,37159800,30.11,
2/4/14,31.64,32,30.6,31.44,47228700,30.63,
2/3/14,31.03,31.69,30.57,30.6,61310600,29.82,
1/31/14,30.56,30.66,30.21,30.4,41411800,29.62,
1/30/14,30.4,30.85,30.21,30.82,32099500,30.03,
1/29/14,30.24,30.46,30,30.11,29218800,29.34,
1/28/14,30.44,30.75,30.13,30.42,34077000,29.64,
1/27/14,30.04,30.25,29.66,29.66,33093200,28.9,
1/24/14,30.86,30.96,30.06,30.09,36109600,29.32,
1/23/14,31.02,31.23,30.91,31.01,25016500,30.22,
1/22/14,31.31,31.34,31.09,31.27,22347500,30.47,
1/21/14,31.32,31.41,30.95,31.23,24056600,30.43,
1/17/14,31.25,31.29,30.95,31.09,21623200,30.29,
1/16/14,31.18,31.42,31.09,31.17,18573100,30.37,
1/15/14,31.05,31.31,30.85,31.18,28816800,30.38,
1/14/14,30.58,31.05,30.55,31,32976600,30.21,
1/13/14,30.86,31.03,30.44,30.54,23981400,29.76,
1/10/14,30.84,30.95,30.5,30.69,21718100,29.9,
1/9/14,31.08,31.12,30.61,30.93,20581500,30.14,
1/8/14,30.78,30.99,30.65,30.95,22923200,30.16,
1/7/14,30.86,31.02,30.74,30.74,22223000,29.95,
1/6/14,30.77,30.95,30.53,30.55,23961500,29.77,
1/3/14,30.39,30.83,30.38,30.52,15035400,29.74,
1/2/14,30.47,30.6,30.33,30.46,17425300,29.68,
12/31/13,30.62,30.81,30.49,30.63,15164900,29.85,
12/30/13,30.54,30.7,30.39,30.69,14799400,29.9,
12/27/13,30.76,30.85,30.53,30.64,11956300,29.85,
12/26/13,30.37,30.56,30.32,30.55,12056900,29.77,
12/24/13,30.44,30.45,30.22,30.29,10992500,29.51,
12/23/13,30.46,30.5,30.17,30.35,22988600,29.57,
12/20/13,30.72,30.96,30.25,30.25,62314400,29.47,
12/19/13,30.78,31.01,30.61,30.71,32703000,29.92,
12/18/13,30.3,30.78,30.01,30.77,34869100,29.98,
12/17/13,30.18,30.31,30.01,30.14,28653500,29.37,
12/16/13,30.3,30.63,30.14,30.25,28214700,29.47,
12/13/13,30.44,30.48,29.95,30.25,26081000,29.47,
12/12/13,30.55,30.77,30.21,30.25,29093800,29.47,
12/11/13,31.31,31.34,30.52,30.65,35033200,29.86,
12/10/13,31.41,31.49,31.2,31.34,22701200,30.54,
12/9/13,31.53,31.69,31.41,31.58,21264100,30.77,
12/6/13,31.55,31.61,31.33,31.54,18913700,30.73,
12/5/13,31.12,31.4,31.12,31.25,20665700,30.45,
12/4/13,31.11,31.43,31,31.27,23786100,30.47,
12/3/13,31.69,31.71,31.17,31.22,37129400,30.42,
12/2/13,31.61,31.93,31.61,31.83,18767600,31.01,
11/29/13,31.88,32.02,31.7,31.73,11843400,30.92,
11/27/13,32.02,32.08,31.8,31.88,17036200,31.06,
11/26/13,32.27,32.27,31.88,31.89,23278900,31.07,
11/25/13,32.12,32.5,32.08,32.14,25408200,31.32,
11/22/13,31.9,32.16,31.8,32.12,25414100,31.3,
11/21/13,31.85,32.16,31.78,31.97,26112800,31.15,
11/20/13,31.79,32.1,31.65,31.92,20261600,31.1,
11/19/13,31.98,32.02,31.61,31.66,28822400,30.85,
11/18/13,32.08,32.15,31.91,32.01,21917200,31.19,
11/15/13,31.83,32.2,31.71,32.2,24410700,31.37,
11/14/13,31.94,32.21,31.78,32,27522400,31.18,
11/13/13,31.28,31.87,31.28,31.87,27179900,31.05,
11/12/13,31.18,31.6,31.12,31.38,25209000,30.58,
11/11/13,31.22,31.3,31.16,31.24,16907700,30.44,
11/8/13,30.88,31.35,30.73,31.32,25019700,30.52,
11/7/13,30.99,31.24,30.91,30.91,25147700,30.12,
11/6/13,31.23,31.33,30.86,30.97,25019400,30.18,
11/5/13,31.19,31.34,31.02,31.24,18921000,30.21,
11/4/13,31.16,31.4,31.12,31.26,18806200,30.22,
11/1/13,30.7,31.26,30.69,31.17,28011900,30.14,
10/31/13,30.78,31.07,30.65,30.69,30359300,29.67,
10/30/13,31.25,31.28,30.8,30.93,22447900,29.91,
10/29/13,30.84,31.35,30.82,31.25,34477300,30.22,
10/28/13,30.45,30.81,30.45,30.74,25687400,29.72,
10/25/13,30.48,30.69,30.42,30.61,24435700,29.6,
10/24/13,30.68,30.91,30.56,30.61,25601200,29.6,
10/23/13,30.65,30.86,30.58,30.6,24931500,29.59,
10/22/13,30.38,30.94,30.33,30.68,32171100,29.66,
10/21/13,30.47,30.64,30.35,30.4,24066000,29.39,
10/18/13,30.19,30.74,30.08,30.51,43556200,29.5,
10/17/13,29.82,30.26,29.69,30.26,29725100,29.26,
10/16/13,29.26,29.81,29.19,29.8,31498600,28.81,
10/15/13,29.21,29.28,29.01,29.16,31498000,28.19,
10/14/13,28.56,29.36,28.55,29.35,28976800,28.38,
10/11/13,28.92,28.93,28.63,28.72,24403700,27.77,
10/10/13,28.62,28.77,28.29,28.77,24625300,27.82,
10/9/13,28.25,28.44,28.02,28.29,31470500,27.35,
10/8/13,28.6,28.69,28.23,28.24,24954000,27.3,
10/7/13,28.73,28.83,28.62,28.62,19423400,27.67,
10/4/13,28.83,29.04,28.6,29,19540400,28.04,
10/3/13,29.02,29.02,28.69,28.77,22687200,27.82,
10/2/13,28.69,29.01,28.64,29.01,22411500,28.05,
10/1/13,28.58,28.95,28.52,28.89,23519700,27.93,
9/30/13,28.71,28.8,28.61,28.73,26434100,27.78,
9/27/13,28.48,29,28.36,28.88,28204600,27.92,
9/26/13,28.63,28.7,28.35,28.52,25489700,27.58,
9/25/13,28.69,28.88,28.49,28.49,26204700,27.55,
9/24/13,28.73,28.94,28.61,28.71,19147700,27.76,
9/23/13,28.77,29.04,28.7,28.8,24879500,27.85,
9/20/13,28.97,29.13,28.93,28.97,40498600,28.01,
9/19/13,29.04,29.15,28.65,28.84,33648700,27.89,
9/18/13,28.73,29.27,28.65,29.04,30336200,28.08,
9/17/13,28.66,28.84,28.57,28.64,22013800,27.69,
9/16/13,28.74,28.85,28.6,28.71,22972800,27.76,
9/13/13,28.39,28.65,28.32,28.51,21959300,27.57,
9/12/13,28.64,28.75,28.27,28.31,28440100,27.37,
9/11/13,28.53,28.74,28.48,28.67,20080800,27.72,
9/10/13,28.38,28.52,28.28,28.45,23756500,27.51,
9/9/13,28.23,28.36,28.1,28.3,21989000,27.36,
9/6/13,28.28,28.54,28.07,28.28,22281400,27.34,
9/5/13,28.52,28.52,28.16,28.27,20817500,27.33,
9/4/13,28.19,28.54,28.07,28.37,25374500,27.43,
9/3/13,28.38,28.45,27.86,28.01,23685200,27.08,
8/30/13,28.05,28.4,28.01,28.21,29782300,27.28,
8/29/13,28.12,28.48,28.07,28.1,22075700,27.17,
8/28/13,27.95,28.49,27.81,28.21,29224600,27.28,
8/27/13,27.92,28.28,27.76,28,24603200,27.07,
8/26/13,28.33,28.37,28.02,28.02,20114300,27.09,
8/23/13,28.14,28.36,28.09,28.34,18507400,27.4,
8/22/13,28.33,28.33,28.11,28.16,22738700,27.23,
8/21/13,28.5,28.58,28.22,28.24,23225200,27.3,
8/20/13,28.56,28.75,28.52,28.53,20293500,27.59,
8/19/13,28.27,28.49,28.23,28.46,26832900,27.52,
8/16/13,28.66,28.68,28.29,28.37,28273600,27.43,
8/15/13,28.94,29.09,28.76,28.8,27240100,27.85,
8/14/13,29.22,29.44,29,29.03,23936600,28.07,
8/13/13,29.25,29.41,29.1,29.27,20028500,28.3,
8/12/13,29.07,29.23,29.03,29.19,19475900,28.22,
8/9/13,29.08,29.26,29.01,29.21,19720300,28.24,
8/8/13,29.21,29.3,29.02,29.13,22531900,28.17,
8/7/13,29.27,29.45,29.19,29.26,21400900,28.29,
8/6/13,29.24,29.42,29.18,29.34,24741000,28.37,
8/5/13,29.3,29.36,29.13,29.19,14392700,28.22,
8/2/13,28.95,29.41,28.95,29.37,21981200,28.4,
8/1/13,29.43,29.45,28.98,29.11,31702500,28.15,
7/31/13,29.44,29.76,29.21,29.23,31310500,28.26,
7/30/13,29.89,30.43,29.64,29.67,44128700,28.46,
7/29/13,29.4,29.91,29.3,29.54,46576200,28.33,
7/26/13,28.92,29.41,28.91,29.37,26596600,28.17,
7/25/13,29.03,29.25,28.68,29.19,26353700,28,
7/24/13,29.44,29.55,29.18,29.28,23825600,28.08,
7/23/13,29.38,29.53,29.32,29.42,27270900,28.22,
7/22/13,29,29.41,29,29.35,28772900,28.15,
7/19/13,28.51,29.24,28.36,29.09,49033500,27.9,
7/18/13,28.67,28.79,28.46,28.49,31655500,27.32,
7/17/13,28.79,28.94,28.64,28.68,26041800,27.51,
7/16/13,28.84,28.96,28.62,28.68,34853700,27.51,
7/15/13,28.79,28.89,28.53,28.79,28122700,27.61,
7/12/13,28.5,28.81,28.46,28.81,29251200,27.63,
7/11/13,28.84,28.9,28.61,28.77,35930000,27.59,
7/10/13,28.47,28.51,28.31,28.44,27100700,27.28,
7/9/13,28.31,28.47,28.27,28.35,29117000,27.19,
7/8/13,28.24,28.3,28.08,28.13,32210900,26.98,
7/5/13,28.05,28.1,27.78,27.97,36589500,26.83,
7/3/13,27.47,27.7,27.33,27.65,22039600,26.52,
7/2/13,27.72,27.92,27.42,27.7,61299600,26.57,
7/1/13,27.97,28.3,27.71,27.78,67767100,26.64,
6/28/13,28.54,28.72,28.01,28.01,123030300,26.86,
6/27/13,28.39,28.66,28.11,28.18,154427500,27.03,
6/26/13,28.08,28.36,27.85,28.1,85885500,26.95,
6/25/13,28.08,28.15,27.58,27.99,118323400,26.84,
6/24/13,28.16,28.38,27.52,27.71,221668100,26.58,
6/21/13,28.86,29.11,28.46,28.46,222098200,27.3,
6/20/13,29.02,29.23,28.45,28.64,95693800,27.47,
6/19/13,29.37,29.81,28.9,29.1,121041600,27.91,
6/18/13,29.13,29.45,29.03,29.4,160345900,28.2,
6/17/13,29.4,29.4,28.9,29.16,152088100,27.97,
