Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,83.21,83.38,82.86,83.26,6358500,83.26,Procter & Gamble Co
9/11/14,83.61,83.75,83.37,83.49,6341600,83.49,
9/10/14,83.2,83.96,83.15,83.64,6715300,83.64,
9/9/14,83.05,83.29,82.83,82.99,5202900,82.99,
9/8/14,83.57,83.6,83.13,83.32,4899600,83.32,
9/5/14,83.44,83.8,83.07,83.77,5888900,83.77,
9/4/14,82.92,83.75,82.78,83.7,7444200,83.7,
9/3/14,83.26,83.48,82.77,82.9,5851800,82.9,
9/2/14,83.21,83.49,82.71,82.98,5528900,82.98,
8/29/14,83.09,83.13,82.6,83.11,4901300,83.11,
8/28/14,83.02,83.22,82.76,83.03,4278700,83.03,
8/27/14,83.43,83.6,83.16,83.31,4248300,83.31,
8/26/14,83.61,83.83,83.33,83.38,5169100,83.38,
8/25/14,83.74,83.82,83.31,83.54,5586800,83.54,
8/22/14,83.16,83.66,83.14,83.39,6978500,83.39,
8/21/14,82.8,83.47,82.69,83.28,7099800,83.28,
8/20/14,82.46,82.94,82.46,82.81,4581800,82.81,
8/19/14,82.35,82.87,82.12,82.69,6867700,82.69,
8/18/14,81.99,82.85,81.81,82.44,8437700,82.44,
8/15/14,82.23,82.23,81.18,81.78,7418400,81.78,
8/14/14,81.59,82.04,81.44,81.95,5930700,81.95,
8/13/14,81.64,81.8,81.11,81.48,5472200,81.48,
8/12/14,81.5,81.86,81.21,81.42,6591200,81.42,
8/11/14,81.23,81.87,81.03,81.48,8188000,81.48,
8/8/14,80.05,81.03,80.04,80.95,6215600,80.95,
8/7/14,81.02,81.18,80.01,80.14,7904000,80.14,
8/6/14,79.4,81.3,79.27,81.09,12839000,81.09,
8/5/14,78.99,79.74,78.98,79.41,7995900,79.41,
8/4/14,79.46,79.46,78.66,79.22,12075300,79.22,
8/1/14,79.25,80.67,78.83,79.65,18110700,79.65,
7/31/14,77.76,78.01,77.29,77.32,11235600,77.32,
7/30/14,78.7,79.01,78.14,78.16,8296500,78.16,
7/29/14,79.09,79.5,78.65,78.65,6419600,78.65,
