Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,41.9,41.92,41.36,41.46,12966800,41.46,The Coca-Cola Co
9/11/14,41.68,42.06,41.66,41.95,19614000,41.95,
9/10/14,41.9,42.19,41.83,42.17,17558000,41.86,
9/9/14,41.77,42.03,41.75,41.94,11892500,41.64,
9/8/14,41.67,41.94,41.63,41.78,9097700,41.48,
9/5/14,41.86,41.86,41.61,41.84,12768100,41.54,
9/4/14,41.8,42.17,41.73,41.87,16785300,41.57,
9/3/14,41.69,41.85,41.66,41.78,8635400,41.48,
9/2/14,41.52,41.84,41.31,41.64,9798100,41.34,
8/29/14,41.6,41.75,41.47,41.72,7666700,41.42,
8/28/14,41.51,41.7,41.44,41.63,9746400,41.33,
8/27/14,41.53,41.71,41.44,41.6,7693100,41.3,
8/26/14,41.41,41.7,41.41,41.6,8416500,41.3,
8/25/14,41.32,41.45,41.12,41.41,10229300,41.11,
8/22/14,41.29,41.52,41.05,41.12,11244600,40.82,
8/21/14,41.29,41.69,41.22,41.41,11951000,41.11,
8/20/14,41.15,41.34,41.09,41.25,6782500,40.95,
8/19/14,41.35,41.48,41.16,41.26,10260400,40.96,
8/18/14,40.79,41.42,40.79,41.35,14891500,41.05,
8/15/14,40.85,41.15,40.66,40.88,23221600,40.58,
8/14/14,39.93,40.19,39.93,40.18,6902000,39.89,
8/13/14,39.7,40.1,39.7,39.94,9646500,39.65,
8/12/14,39.56,39.84,39.54,39.68,13297500,39.39,
8/11/14,39.52,39.87,39.52,39.57,14102600,39.28,
8/8/14,39.34,39.58,39.26,39.45,13667000,39.16,
8/7/14,39.96,40.01,39.33,39.35,14367400,39.07,
8/6/14,39.13,39.96,39.13,39.92,17567500,39.63,
8/5/14,39.34,39.53,39.1,39.18,11639200,38.9,
8/4/14,39.41,39.46,39.12,39.4,11012900,39.12,
8/1/14,39.13,39.49,39.06,39.29,13566700,39.01,
7/31/14,39.53,39.73,39.25,39.29,15434700,39.01,
7/30/14,40.45,40.5,39.61,39.62,20346200,39.33,
7/29/14,40.75,40.78,40.35,40.35,10863600,40.06,
7/28/14,40.99,41,40.61,40.68,11709100,40.39,
7/25/14,40.92,41.04,40.81,41,10809900,40.7,
7/24/14,40.97,41.1,40.66,40.97,14856000,40.67,
7/23/14,40.98,41.05,40.63,40.81,17531700,40.51,
7/22/14,41.1,41.33,40.61,41.19,24706000,40.89,
7/21/14,42.12,42.57,42.09,42.4,17607200,42.09,
7/18/14,42.14,42.47,42.02,42.43,19272400,42.12,
7/17/14,41.93,42.15,41.83,42.02,9983500,41.72,
7/16/14,42.26,42.39,42.02,42.12,10331400,41.82,
7/15/14,42.41,42.43,41.95,42.1,10541900,41.8,
7/14/14,41.99,42.39,41.98,42.38,11857700,42.07,
7/11/14,42.12,42.25,41.88,41.97,9773000,41.67,
7/10/14,41.56,42.29,41.55,42.26,12564500,41.95,
7/9/14,41.93,42.16,41.79,41.95,9891600,41.65,
7/8/14,41.97,42.25,41.91,41.94,10090500,41.64,
7/7/14,41.96,42.2,41.93,42.14,8991900,41.84,
7/3/14,42.26,42.32,42.01,42.23,7537700,41.92,
7/2/14,42.31,42.41,42.15,42.29,6707000,41.98,
