Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,92.77,93,92.32,92.42,1539200,92.42,Travelers Companies Inc
9/11/14,92.85,93.04,92.55,92.92,1349700,92.92,
9/10/14,93.04,93.54,92.87,93.17,1456500,93.17,
9/9/14,93.4,93.46,92.58,92.85,2039700,92.85,
9/8/14,93.74,94.02,93.1,93.27,1408900,93.27,
9/5/14,94.24,94.42,93.48,94.21,1658700,93.66,
9/4/14,94.63,94.99,94.08,94.26,1491400,93.71,
9/3/14,95.04,95.32,94.37,94.47,1575700,93.92,
9/2/14,94.92,95.34,94.35,94.52,2465700,93.97,
8/29/14,94.47,94.76,93.96,94.71,1376000,94.16,
8/28/14,94.36,94.77,94.18,94.34,1221400,93.79,
8/27/14,94.15,94.77,94.07,94.76,1223000,94.21,
8/26/14,94.52,94.66,94.11,94.2,1053300,93.65,
8/25/14,94.08,94.52,93.87,94.29,1335500,93.74,
8/22/14,93.88,94.13,93.5,93.75,1401300,93.2,
8/21/14,93.01,94.18,92.9,93.94,1348100,93.39,
8/20/14,92.62,93.16,92.33,93.11,1023000,92.57,
8/19/14,92.87,93.06,92.72,92.91,973000,92.37,
8/18/14,92.42,93.06,92.38,92.99,1193900,92.45,
8/15/14,92.34,92.93,91.48,92.13,1343000,91.59,
8/14/14,91.37,92.25,91.33,92.22,1076300,91.68,
8/13/14,91.48,91.58,90.99,91.27,1405600,90.74,
8/12/14,90.6,91.22,90.43,91.09,1290100,90.56,
8/11/14,90.59,90.96,90.51,90.66,1595700,90.13,
8/8/14,89.84,90.63,89.63,90.48,1803900,89.95,
8/7/14,89.84,90.26,89.66,89.9,1877200,89.38,
8/6/14,88.93,89.92,88.81,89.7,1400900,89.18,
8/5/14,89.67,89.87,88.82,89.12,2218300,88.6,
8/4/14,89.67,90.02,89.11,89.9,2167800,89.38,
8/1/14,89.47,90.03,89.07,89.61,2234100,89.09,
7/31/14,90.75,91.2,89.55,89.56,2646900,89.04,
7/30/14,91.22,91.59,90.82,90.94,2069400,90.41,
7/29/14,92.09,92.47,91.09,91.12,2265100,90.59,
7/28/14,91.7,92.1,91.02,91.88,2490100,91.34,
7/25/14,92.91,92.96,91.79,92.1,1907800,91.56,
7/24/14,92.09,93.09,91.91,92.88,2410400,92.34,
7/23/14,91.52,91.9,91.28,91.78,2731700,91.24,
7/22/14,90.36,92.1,90.36,91.63,6323100,91.1,
7/21/14,95.39,95.58,94.68,95.26,1748800,94.7,
7/18/14,94.93,95.44,94.75,95.34,1737200,94.78,
7/17/14,95.33,95.74,94.64,94.7,1202900,94.15,
7/16/14,95.93,96.01,95.46,95.62,1437800,95.06,
7/15/14,95.53,96.03,95.47,95.95,1575800,95.39,
7/14/14,95.18,95.83,95.18,95.56,1416700,95,
7/11/14,94.37,94.74,94.12,94.68,1117000,94.13,
7/10/14,93.73,94.38,93.55,94.3,1656100,93.75,
7/9/14,94.58,94.77,94.23,94.7,1512400,94.15,
7/8/14,94.42,94.58,93.85,94.14,2444700,93.59,
7/7/14,94.5,94.77,94.35,94.55,1319100,94,
7/3/14,94.64,94.85,94.35,94.84,828900,94.29,
7/2/14,94.91,95.25,94.43,94.62,1114500,94.07,
7/1/14,94.88,95.81,94.74,95.21,1631100,94.65,
6/30/14,94.08,94.38,93.65,94.07,2153900,93.52,
6/27/14,94.52,94.9,93.59,93.92,4143600,93.37,
6/26/14,94.88,94.96,93.61,94.41,1215500,93.86,
6/25/14,94.64,95.04,94.35,94.86,1298200,94.31,
6/24/14,94.81,95.39,94.53,94.67,1640200,94.12,
6/23/14,94.59,95.24,94.59,94.95,1930300,94.4,
6/20/14,95.82,96.18,94.56,94.59,4795700,94.04,
6/19/14,95.55,95.66,95.01,95.6,2115900,95.04,
6/18/14,95.19,95.57,94.91,95.4,2556600,94.84,
6/17/14,94.93,95.69,94.57,95.22,2175700,94.66,
6/16/14,95.21,95.75,95.2,95.46,1306200,94.9,
6/13/14,94.95,95.48,94.82,95.41,1446500,94.85,
6/12/14,94.97,95.19,94.57,95,1840500,94.45,
6/11/14,94.81,95.1,94.6,94.9,1555600,94.35,
6/10/14,94.69,95.16,94.65,95.1,1730400,94.54,
6/9/14,94.71,95.05,94.55,94.66,1871000,94.11,
6/6/14,94.54,94.97,94.29,94.36,2157500,93.81,
6/5/14,94.89,95,94.24,94.97,1854800,93.87,
6/4/14,93.39,94.75,93.13,94.67,2048300,93.57,
6/3/14,93.08,93.45,92.87,93.41,2012100,92.33,
6/2/14,93.7,94.01,93.65,93.71,1454800,92.62,
5/30/14,94,94.12,93.37,93.45,2276700,92.37,
5/29/14,93.4,94.31,93.4,94.1,1724200,93.01,
5/28/14,93.43,93.81,93.27,93.46,2048200,92.38,
5/27/14,93.15,93.65,92.98,93.49,1590800,92.41,
5/23/14,93.01,93.34,92.41,92.86,1451200,91.78,
5/22/14,92.8,93.1,92.6,93.01,1364300,91.93,
5/21/14,93.03,93.34,92.57,92.86,1701900,91.78,
5/20/14,92.48,92.98,92.32,92.67,1391800,91.6,
5/19/14,92.48,92.89,92.14,92.77,1292200,91.69,
5/16/14,92.46,92.62,91.62,92.58,2331000,91.51,
5/15/14,92.45,92.65,91.91,92.37,2257200,91.3,
5/14/14,93.02,93.04,92.44,92.65,1330600,91.58,
5/13/14,92.37,93.06,92.22,92.91,2246800,91.83,
5/12/14,92.12,92.93,92.03,92.04,2072600,90.97,
5/9/14,91.07,91.36,90.74,91.3,1640400,90.24,
5/8/14,90.98,91.53,90.91,91.24,1775400,90.18,
5/7/14,90.33,91.51,90.33,91.07,3279200,90.01,
5/6/14,90.32,90.63,89.81,89.88,2301000,88.84,
5/5/14,90.82,90.92,89.93,90.65,1911400,89.6,
5/2/14,90.99,91.68,90.84,91,2100100,89.94,
5/1/14,90.64,90.92,90.25,90.83,2753600,89.78,
4/30/14,90.7,90.77,90.03,90.58,2744500,89.53,
4/29/14,90,90.94,89.89,90.9,3649300,89.85,
4/28/14,88.85,90.28,88.79,89.64,4086900,88.6,
4/25/14,88.7,88.7,87.99,88.31,2256200,87.29,
4/24/14,88.3,88.99,88.3,88.59,2239600,87.56,
4/23/14,86.9,88.57,86.73,88.13,2911100,87.11,
4/22/14,86.75,87.66,86.01,86.89,3181900,85.88,
4/21/14,86.71,86.84,86.06,86.4,2330000,85.4,
4/17/14,87.15,87.39,86.4,86.68,1888600,85.67,
4/16/14,86.52,86.93,86.12,86.78,1826700,85.77,
4/15/14,84.9,85.96,84.9,85.89,2164600,84.89,
4/14/14,85.8,85.95,84.84,85.5,3153000,84.51,
4/11/14,84.91,85.62,84.86,85.3,2067000,84.31,
4/10/14,85.7,86.32,84.92,84.99,2138900,84,
4/9/14,84.83,85.83,84.67,85.82,2098700,84.82,
4/8/14,84.8,84.91,84.45,84.73,1750800,83.75,
4/7/14,85.19,85.55,84.93,85,2352500,84.01,
4/4/14,85.41,86.06,85.14,85.2,2333100,84.21,
4/3/14,84.83,85.11,84.45,84.98,1904600,83.99,
4/2/14,84.37,85.27,84.22,84.65,1997500,83.67,
4/1/14,85.17,85.24,84.16,84.39,2172800,83.41,
3/31/14,84.64,85.13,84.52,85.1,2106600,84.11,
3/28/14,83.86,84.17,83.44,83.99,2423300,83.02,
3/27/14,83.27,83.83,83.22,83.49,3563800,82.52,
3/26/14,84.43,84.49,83.42,83.43,2113300,82.46,
3/25/14,84.32,84.67,83.96,84.03,2021900,83.06,
3/24/14,83.87,84.26,83.64,83.86,2795100,82.89,
3/21/14,83.8,84.06,83.32,83.78,6498300,82.81,
3/20/14,82.9,83.51,82.51,83.23,2753400,82.26,
3/19/14,83.99,84.24,82.81,83.2,2526500,82.24,
3/18/14,83.69,84.24,83.36,83.95,2141100,82.98,
3/17/14,83.21,83.78,82.8,83.54,2758600,82.57,
3/14/14,82.59,82.84,82.32,82.66,2074400,81.7,
3/13/14,83.68,83.86,82.51,82.59,2121000,81.63,
3/12/14,83.15,83.73,83,83.43,1758500,82.46,
3/11/14,84.14,84.18,83.34,83.58,1859000,82.61,
3/10/14,83.7,83.89,83.34,83.78,1954400,82.81,
3/7/14,84.73,84.86,83.71,83.93,2733700,82.96,
3/6/14,83.94,84.53,83.75,84.4,1922100,83.42,
3/5/14,84.05,84.4,83.62,84.37,2582700,82.9,
3/4/14,84.16,84.49,83.81,84.11,1864900,82.64,
3/3/14,83.45,83.82,82.6,83.18,1728600,81.73,
2/28/14,83.72,84.2,83.49,83.84,2286700,82.38,
2/27/14,83.28,83.86,83.1,83.85,1584900,82.39,
2/26/14,83.4,83.7,83.01,83.43,2157100,81.97,
2/25/14,83.31,83.44,82.55,83.34,2681900,81.89,
2/24/14,83.83,84.39,83.4,83.44,2163200,81.98,
2/21/14,83.92,84.11,83.37,83.79,1895300,82.33,
2/20/14,84.18,84.37,83.37,83.81,2083500,82.35,
2/19/14,84.27,85.18,83.98,84.01,3115900,82.54,
2/18/14,84.08,84.79,84.07,84.37,2531500,82.9,
2/14/14,82.54,84.07,82.54,84.02,2050800,82.55,
2/13/14,81.87,82.9,81.56,82.88,2650700,81.43,
2/12/14,82.76,83.1,81.88,82.26,3732900,80.82,
2/11/14,82.4,83.59,82.21,83.21,3105600,81.76,
2/10/14,81.33,82.44,80.65,82.35,4305000,80.91,
2/7/14,81.19,81.19,80.23,80.88,2538100,79.47,
2/6/14,80.65,80.73,79.95,80.69,2642800,79.28,
2/5/14,80.07,80.93,80.02,80.44,2342400,79.04,
2/4/14,80.57,80.63,79.89,80.35,2628500,78.95,
2/3/14,81.2,81.28,80.05,80.26,4116300,78.86,
1/31/14,81.39,81.99,80.88,81.28,5186100,79.86,
1/30/14,82.62,82.72,82.16,82.36,2754500,80.92,
1/29/14,82.31,82.8,82.01,82.21,3165200,80.78,
1/28/14,82.75,83.57,82.6,83.1,3158700,81.65,
1/27/14,81.25,83.15,81.22,82.29,4329300,80.85,
1/24/14,82.5,83.03,81.61,81.61,3753600,80.19,
1/23/14,83.42,84.37,82.92,83.07,4141800,81.62,
1/22/14,84.9,85.07,84.35,84.56,3080900,83.08,
1/21/14,86.25,86.27,83.66,85,6092100,83.52,
1/17/14,87.23,87.3,86.42,86.47,2931500,84.96,
1/16/14,87.55,87.86,86.91,87.24,1412100,85.72,
1/15/14,87.6,88,87.32,87.88,2063900,86.35,
1/14/14,86.8,87.7,86.8,87.45,2034200,85.92,
1/13/14,87.33,87.55,86.27,86.34,2215800,84.83,
1/10/14,88.1,88.12,87.08,87.49,1863000,85.96,
1/9/14,87.76,88.22,87.17,87.68,1687200,86.15,
1/8/14,88.21,88.4,87.23,87.58,2627700,86.05,
1/7/14,89.06,89.17,88.07,88.4,1818300,86.86,
1/6/14,89.72,89.9,88.77,88.92,1763600,87.37,
1/3/14,89.3,89.67,88.88,89.16,1448600,87.6,
1/2/14,90.51,90.66,88.97,89.33,1543900,87.77,
12/31/13,90.34,90.74,90.22,90.54,1107700,88.96,
12/30/13,90.04,90.53,89.86,90.28,1267900,88.7,
12/27/13,90.01,90.21,89.45,89.85,758200,88.28,
12/26/13,89.89,90.16,89.38,90.01,938600,88.44,
12/24/13,89.11,89.55,89.01,89.49,512800,87.93,
12/23/13,89.91,89.91,89.01,89.16,1277100,87.6,
12/20/13,88.67,89.64,88.62,89.18,3911300,87.62,
12/19/13,87.79,88.93,87.79,88.79,2140300,87.24,
12/18/13,86.96,88.15,86.62,88.14,2928000,86.6,
12/17/13,86.77,87,86.26,86.57,1852300,85.06,
12/16/13,86.99,87.36,86.65,87.05,2367800,85.53,
12/13/13,86.56,86.79,86.29,86.49,1568300,84.98,
12/12/13,87.12,87.37,86.5,86.63,1889300,85.12,
12/11/13,88.42,88.72,87.04,87.1,2179900,85.58,
12/10/13,88.09,88.83,88.03,88.44,1931100,86.9,
12/9/13,89.05,89.28,88.33,88.45,2539400,86.91,
12/6/13,88.18,89.42,88.18,89.01,1831200,87.46,
12/5/13,88.37,88.76,87.84,87.92,2334300,85.89,
12/4/13,88.71,89.46,87.89,88.61,2349600,86.57,
12/3/13,88.73,89.59,88.43,89.03,2531800,86.98,
12/2/13,90.26,90.4,88.87,89,3771100,86.95,
11/29/13,91.21,91.68,90.74,90.74,917100,88.65,
11/27/13,90.99,91.43,90.79,90.99,1902200,88.89,
11/26/13,90.8,91.23,90.72,90.79,2454000,88.7,
11/25/13,90.55,90.99,90.53,90.79,2112200,88.7,
11/22/13,89.22,90.59,89.06,90.52,1885000,88.43,
11/21/13,88.18,89.42,88,89.22,1787700,87.16,
11/20/13,88.06,88.45,87.69,87.93,1755400,85.9,
11/19/13,88.21,88.44,87.9,88.09,1274100,86.06,
11/18/13,88.88,88.93,88.07,88.18,1676800,86.15,
11/15/13,88.22,88.87,88.07,88.67,1764700,86.63,
11/14/13,87.56,88.28,87.29,88.25,1585900,86.22,
11/13/13,86.24,87.52,86.08,87.22,2081900,85.21,
11/12/13,87.5,87.86,86.12,86.44,2496800,84.45,
11/11/13,87.78,88.31,87.65,87.97,1367300,85.94,
11/8/13,87.15,87.83,87.01,87.8,1758400,85.78,
11/7/13,87.6,88.03,87.15,87.22,2139400,85.21,
11/6/13,86.54,87.6,86.46,87.49,1940600,85.47,
11/5/13,86.47,86.93,86.14,86.46,1445300,84.47,
11/4/13,86.51,87.1,86.35,86.6,1095600,84.6,
11/1/13,86.58,86.6,86.02,86.4,1432000,84.41,
10/31/13,86.99,87.09,86.29,86.3,1821200,84.31,
10/30/13,87.28,87.49,86.53,86.9,1282200,84.9,
10/29/13,87.26,87.5,86.9,87.28,1562900,85.27,
10/28/13,86.66,87.46,86.64,87.11,1625900,85.1,
10/25/13,86.82,87.15,86.53,86.63,1764100,84.63,
10/24/13,86.28,87.34,86.17,87.03,1991600,85.02,
10/23/13,86.21,86.45,85.62,86.28,1945400,84.29,
10/22/13,88.05,88.05,86.26,86.71,3823600,84.71,
10/21/13,86.69,86.93,86.35,86.76,1768000,84.76,
10/18/13,86.55,86.76,86.13,86.58,2027700,84.59,
10/17/13,85.32,86.12,84.87,86.02,1998000,84.04,
