Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,108.21,108.64,107.95,108.35,2920400,108.35,United Technologies Corp
9/11/14,108.28,108.73,108.05,108.51,2270600,108.51,
9/10/14,108.67,109.22,108.09,108.5,2364600,108.5,
9/9/14,108.76,108.98,108.41,108.67,2114600,108.67,
9/8/14,108.9,108.94,108.48,108.6,3785400,108.6,
9/5/14,109.51,109.51,108.38,108.7,2793100,108.7,
9/4/14,109.49,109.65,109.06,109.22,2856600,109.22,
9/3/14,109.99,110,108.82,109.2,2629700,109.2,
9/2/14,108.26,109.07,107.72,109.04,4142800,109.04,
8/29/14,109.11,109.35,107.71,107.98,4717300,107.98,
8/28/14,108.8,109.23,108.28,109.11,2124200,109.11,
8/27/14,110.2,110.34,108.87,109.09,2548100,109.09,
8/26/14,109.9,110.17,109.64,109.68,2022500,109.68,
8/25/14,109.68,110.15,109.68,109.82,1732800,109.82,
8/22/14,109.79,109.94,109.24,109.39,2364900,109.39,
8/21/14,110,110.22,109.5,110.06,2847600,110.06,
8/20/14,108.6,109.87,108.56,109.71,4502200,109.71,
8/19/14,108.18,108.58,107.69,108.56,3961600,108.56,
8/18/14,106.66,108.12,106.48,108.09,5036900,108.09,
8/15/14,106.31,106.36,104.94,105.63,3106700,105.63,
8/14/14,105.55,106.05,105.5,105.77,2327200,105.77,
8/13/14,104.78,105.77,104.78,105.56,3487700,105.56,
8/12/14,105.35,105.8,104.77,104.91,4352900,104.32,
8/11/14,106.57,106.85,105.68,105.72,3262600,105.13,
8/8/14,104.67,105.98,104.12,105.96,4479800,105.36,
8/7/14,104.39,104.57,103.74,104.22,4155700,103.63,
8/6/14,104.25,104.55,103.14,103.79,5408700,103.21,
8/5/14,104.82,105.72,104.48,105.02,5579300,104.43,
8/4/14,105.04,105.34,104.4,105.05,3982700,104.46,
8/1/14,104.92,105.81,104.25,104.75,4731300,104.16,
7/31/14,105.7,106.57,105.1,105.15,6528500,104.56,
7/30/14,107.81,108.15,106.07,106.38,5977500,105.78,
7/29/14,108.81,109.25,107.21,107.33,5480700,106.73,
7/28/14,109.01,109.17,108.08,108.99,5391400,108.38,
7/25/14,108.64,109.2,108.43,108.88,4348900,108.27,
7/24/14,110,110.19,108.79,108.95,6811900,108.34,
7/23/14,110.65,110.91,109.55,109.73,6990800,109.11,
7/22/14,113.86,114,109.11,110.86,10527200,110.24,
7/21/14,113.42,113.5,112.57,112.98,5187800,112.34,
7/18/14,113.01,113.66,112.79,113.57,4244900,112.93,
7/17/14,113.93,114.11,112.72,112.77,4875600,112.14,
7/16/14,115.27,115.27,114.23,114.36,3503700,113.72,
7/15/14,115.16,116.25,114.64,114.84,4488700,114.19,
7/14/14,114.98,115.35,114.67,114.88,3017400,114.23,
7/11/14,113.8,114.55,113.54,114.13,3697600,113.49,
7/10/14,112.79,113.92,112.44,113.51,3654800,112.87,
7/9/14,114.35,114.5,113.38,113.84,3358400,113.2,
7/8/14,114.75,115.1,113.95,114.07,2861900,113.43,
7/7/14,115.61,115.8,114.71,115.1,3779200,114.45,
7/3/14,115.52,116,115.39,115.53,1746000,114.88,
7/2/14,115.98,115.98,114.7,115.14,3821500,114.49,
7/1/14,115.97,116.47,115.5,115.93,3245300,115.28,
6/30/14,116.39,116.39,115.2,115.45,3377200,114.8,
6/27/14,115.73,116.58,115.48,116.58,9124000,115.92,
6/26/14,116.06,116.22,115.06,115.75,2914100,115.1,
6/25/14,115.64,116.34,115.36,116.12,2467300,115.47,
6/24/14,116.69,116.99,115.65,115.68,2770300,115.03,
6/23/14,117.78,117.93,116.71,117.13,2101000,116.47,
6/20/14,118.11,118.28,117.44,117.99,5249700,117.33,
6/19/14,117.47,117.74,116.66,117.58,2256900,116.92,
6/18/14,117.09,117.47,115.93,117.23,2896300,116.57,
6/17/14,116.37,117.36,116.2,117.01,2244000,116.35,
6/16/14,116.53,117.21,116.2,116.87,1809700,116.21,
6/13/14,116.92,117.27,116.3,116.79,1919700,116.13,
6/12/14,117.85,118.24,116.56,116.85,2537500,116.19,
6/11/14,118.6,118.69,117.86,118.3,2167200,117.63,
6/10/14,119.69,119.84,118.56,119.13,2620100,118.46,
6/9/14,119,120.19,118.48,120.09,3177100,119.41,
6/6/14,118.43,118.9,118.28,118.9,1958000,118.23,
6/5/14,117.28,118.4,116.93,118.17,2803300,117.51,
6/4/14,117.9,117.98,116.82,117.14,2778400,116.48,
6/3/14,118,118.22,117.56,117.82,5362600,117.16,
6/2/14,116.41,117.55,116.2,117.4,2690700,116.74,
5/30/14,116.29,116.79,115.78,116.22,3661800,115.57,
5/29/14,116.23,116.65,115.79,116.35,2279200,115.7,
5/28/14,115.93,116.55,115.83,115.95,1977400,115.3,
5/27/14,116.09,116.33,115.65,115.85,1988300,115.2,
5/23/14,115.06,115.66,114.93,115.54,1505100,114.89,
5/22/14,114.47,115.51,114.28,115.04,2176400,114.39,
5/21/14,113.6,114.96,113.6,114.84,3330100,114.19,
5/20/14,114.83,115.13,112.6,113.1,3751200,112.46,
5/19/14,114.07,115.57,113.92,115.02,3205300,114.37,
5/16/14,115.87,116.22,114.48,114.58,4486300,113.94,
5/15/14,117.05,117.25,115.34,115.7,2864200,115.05,
5/14/14,118.56,118.57,117.16,117.32,1767800,116.66,
5/13/14,119.02,119.19,118.68,118.74,2077100,117.49,
5/12/14,117.44,118.75,117.39,118.63,2795300,117.38,
5/9/14,116.82,117.28,116.15,116.99,2185000,115.75,
5/8/14,116.87,118.09,116.78,117.02,2520200,115.78,
