Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,49,49,48.26,48.4,15339200,48.4,Verizon Communications Inc
9/11/14,48.65,49.08,48.33,49.01,13193800,49.01,
9/10/14,49.03,49.07,48.37,48.75,14347900,48.75,
9/9/14,49.42,49.52,48.8,48.9,14568800,48.9,
9/8/14,49.87,49.88,49.35,49.53,9005900,49.53,
9/5/14,49.73,50.03,49.56,49.94,11920900,49.94,
9/4/14,49.93,49.94,49.51,49.72,9472900,49.72,
9/3/14,49.94,50,49.69,49.88,9100900,49.88,
9/2/14,49.82,50,49.5,49.77,8724400,49.77,
8/29/14,49.43,49.82,49.4,49.82,11259700,49.82,
8/28/14,49.38,49.5,49.2,49.41,8018800,49.41,
8/27/14,49.29,49.46,49.21,49.43,11489500,49.43,
8/26/14,49.21,49.29,49.02,49.25,10363400,49.25,
8/25/14,48.68,49.16,48.68,49.15,9913500,49.15,
8/22/14,48.83,48.98,48.52,48.64,9991400,48.64,
8/21/14,48.86,49.15,48.73,48.87,10188900,48.87,
8/20/14,48.82,48.97,48.6,48.82,10685300,48.82,
8/19/14,49.03,49.04,48.27,48.7,17336000,48.7,
8/18/14,49.05,49.14,48.64,48.78,12666800,48.78,
8/15/14,48.9,49.05,48.5,48.8,16378200,48.8,
8/14/14,49.02,49.02,48.81,49,11535400,49,
8/13/14,49,49.02,48.76,48.92,10897800,48.92,
8/12/14,48.8,48.95,48.56,48.84,12325600,48.84,
8/11/14,48.89,49.04,48.61,48.67,11839200,48.67,
8/8/14,48.73,49.1,48.2,48.7,15395200,48.7,
8/7/14,49.16,49.32,48.45,48.65,12143700,48.65,
8/6/14,49.4,49.45,48.36,49.13,18995100,49.13,
8/5/14,50.15,50.2,49.5,49.66,11565100,49.66,
8/4/14,50.04,50.3,49.64,50.21,11693900,50.21,
8/1/14,50.52,50.52,49.83,49.83,18254100,49.83,
7/31/14,51.26,51.38,50.35,50.42,21255000,50.42,
7/30/14,51.94,52.15,51.42,51.76,12769100,51.76,
7/29/14,53.19,53.66,51.88,51.97,32965500,51.97,
7/28/14,51.26,51.58,51.18,51.58,9600900,51.58,
7/25/14,51.07,51.48,51.07,51.28,11063100,51.28,
7/24/14,50.96,51.45,50.71,51.05,17616200,51.05,
7/23/14,50.98,51.2,50.78,50.91,11912400,50.91,
7/22/14,50.98,51.14,50.41,50.98,15037300,50.98,
7/21/14,50.82,51,50.54,50.7,11333900,50.7,
7/18/14,50.62,50.85,50.45,50.75,10129500,50.75,
7/17/14,50.79,50.98,50.24,50.32,11485100,50.32,
7/16/14,50.89,51.02,50.67,50.96,12798600,50.96,
7/15/14,50.57,50.82,50.37,50.71,14235400,50.71,
7/14/14,50.44,50.6,50.15,50.53,13023900,50.53,
7/11/14,49.85,50.43,49.67,50.32,17741200,50.32,
7/10/14,48.59,49.77,48.54,49.64,18423500,49.64,
7/9/14,48.99,49.11,48.72,48.9,14431900,48.9,
7/8/14,49.01,49.07,48.76,48.76,12848400,48.76,
7/7/14,49.61,49.88,49.55,49.75,13930000,49.22,
7/3/14,49.9,49.94,49.35,49.71,8238600,49.18,
7/2/14,49.52,49.73,49.32,49.66,11576100,49.13,
7/1/14,48.88,49.55,48.82,49.37,14298500,48.84,
6/30/14,49.27,49.45,48.81,48.93,16818500,48.41,
6/27/14,49.17,49.34,48.88,49.32,12388400,48.79,
6/26/14,49.41,49.41,48.87,49.21,9332600,48.69,
6/25/14,49.14,49.49,49.11,49.41,11334200,48.88,
6/24/14,49.74,49.79,49.19,49.28,13541700,48.76,
6/23/14,49.36,49.76,49.12,49.73,11850700,49.2,
6/20/14,49.75,49.75,49.2,49.39,18210600,48.86,
6/19/14,49.42,49.77,49.29,49.47,11275200,48.94,
6/18/14,49.01,49.42,48.8,49.42,11917000,48.89,
6/17/14,49.19,49.36,48.95,49.21,11085700,48.69,
6/16/14,49.23,49.42,49.05,49.31,9172200,48.78,
6/13/14,48.93,49.31,48.81,49.18,11121200,48.66,
6/12/14,49.27,49.35,48.75,49.04,11516700,48.52,
6/11/14,49.35,49.57,49.32,49.37,10039700,48.84,
6/10/14,49.45,49.55,49.29,49.52,11034700,48.99,
6/9/14,49.23,49.64,49.23,49.57,10144900,49.04,
6/6/14,49.45,49.48,48.85,49.42,13917800,48.89,
6/5/14,49.21,49.56,49.02,49.28,9855300,48.76,
6/4/14,49.32,49.37,49.07,49.15,12696000,48.63,
6/3/14,49.75,49.82,49.19,49.29,19683700,48.76,
6/2/14,50.02,50.33,49.96,50.05,14364600,49.52,
5/30/14,49.55,50,49.55,49.96,12409700,49.43,
5/29/14,49.8,49.9,49.49,49.72,10309300,49.19,
5/28/14,49.49,49.9,49.47,49.74,11587400,49.21,
5/27/14,49.97,50.01,49.43,49.62,12228000,49.09,
5/23/14,49.47,49.74,49.38,49.74,12049800,49.21,
5/22/14,49.3,49.51,49.25,49.45,13753400,48.92,
5/21/14,48.9,49.36,48.82,49.17,13949800,48.65,
5/20/14,49.36,49.38,48.62,48.65,14022500,48.13,
5/19/14,49.13,49.5,49.06,49.15,19062600,48.63,
5/16/14,48.71,49.3,48.54,49.07,29384000,48.55,
5/15/14,47.85,48.24,47.84,47.96,13115400,47.45,
5/14/14,48,48.32,47.8,48.01,13874600,47.5,
5/13/14,48.32,48.34,47.64,47.85,18017000,47.34,
5/12/14,48.59,48.63,48.02,48.16,13579300,47.65,
5/9/14,48.36,48.68,48.25,48.48,14518100,47.96,
5/8/14,48.07,48.63,48.07,48.49,17359200,47.97,
5/7/14,47.52,48.43,47.45,48.1,23606200,47.59,
5/6/14,47.36,47.48,47.26,47.47,14031400,46.96,
5/5/14,47.14,47.43,47.03,47.39,12612600,46.89,
5/2/14,46.96,47.41,46.81,47.12,18140200,46.62,
5/1/14,46.63,47.23,46.6,47.22,22778800,46.72,
4/30/14,46.7,46.86,46.6,46.73,16280300,46.23,
4/29/14,46.67,46.9,46.31,46.77,15552100,46.27,
4/28/14,46.22,46.69,46.15,46.6,22320800,46.1,
4/25/14,46.08,46.25,45.85,45.94,24429400,45.45,
4/24/14,47.4,47.49,46.07,46.28,41610900,45.79,
4/23/14,47.3,47.67,46.75,47.43,38239700,46.92,
4/22/14,47.99,48.37,47.75,47.92,20829900,47.41,
4/21/14,47.77,48,47.75,47.98,13280800,47.47,
4/17/14,46.87,47.7,46.87,47.6,23242100,47.09,
4/16/14,47.03,47.16,46.7,47.1,18851000,46.6,
4/15/14,47.26,47.31,46.77,46.92,20923000,46.42,
4/14/14,47.26,47.33,46.83,47.27,19034000,46.77,
4/11/14,47.35,47.44,47.02,47.07,25822600,46.57,
4/10/14,47.71,48.46,47.42,47.47,33518300,46.96,
4/9/14,48.17,48.18,47.52,47.98,30318500,47.47,
4/8/14,47.67,48.23,47.53,48.21,36508200,47.7,
4/7/14,47.7,48.33,47.69,48.12,30356400,47.08,
4/4/14,48.26,48.35,47.96,48.04,20772000,47,
4/3/14,47.94,48.17,47.61,48.12,19320900,47.08,
4/2/14,47.66,48.18,47.63,47.82,25156000,46.79,
4/1/14,47.54,47.78,47.2,47.75,19712800,46.72,
3/31/14,47.66,47.83,47.5,47.57,20744100,46.54,
3/28/14,47.63,47.93,47.15,47.42,25700300,46.4,
3/27/14,46.98,47.7,46.97,47.69,32560000,46.66,
3/26/14,47.4,47.66,47.01,47.01,24376600,46,
3/25/14,47.02,47.36,46.77,47.22,23581800,46.2,
3/24/14,46.81,47.1,46.38,47.01,34926100,46,
3/21/14,47.3,47.41,46.7,46.91,38716800,45.9,
3/20/14,46.41,47.25,46.26,47.21,31613400,46.19,
3/19/14,46.63,46.99,46.19,46.36,35065200,45.36,
3/18/14,46.32,46.75,46.2,46.7,26373700,45.69,
3/17/14,46.22,46.52,46.1,46.31,26394300,45.31,
3/14/14,45.84,46.27,45.83,46.08,27874500,45.09,
3/13/14,46.35,46.56,45.96,46.03,35184200,45.04,
3/12/14,46.57,46.61,46.13,46.36,45522100,45.36,
3/11/14,46.73,46.79,46.36,46.7,42625900,45.69,
3/10/14,46.79,47.06,46.5,47.03,32384500,46.02,
3/7/14,47.41,47.43,46.86,47.15,41073000,46.13,
3/6/14,47.46,47.53,47.25,47.46,30857100,46.44,
3/5/14,47.82,47.87,47.34,47.38,40016400,46.36,
3/4/14,47.54,48.39,47.47,47.9,52231200,46.87,
3/3/14,47.3,47.68,46.82,47.31,60287600,46.29,
2/28/14,47.45,47.76,47.21,47.58,62309000,46.55,
2/27/14,46.34,47.78,46.28,47.5,139433900,46.48,
2/26/14,46.09,46.5,45.89,46.35,102687200,45.35,
2/25/14,46.42,46.76,46.19,46.29,145797400,45.29,
2/24/14,47.02,47.2,46.23,46.23,616620500,45.23,
2/21/14,47.55,48.25,47.18,47.27,60808800,46.25,
2/20/14,46.81,48.34,46.75,48.12,48975300,47.08,
2/19/14,45.74,46.84,45.56,46.53,34094900,45.53,
2/18/14,46.47,46.5,45.45,45.98,34912800,44.99,
2/14/14,47.14,47.14,46.42,46.51,26251600,45.51,
2/13/14,47.24,47.46,47,47.31,18833600,46.29,
2/12/14,47.44,47.44,47.06,47.37,23453500,46.35,
2/11/14,47.04,47.37,46.91,47.21,16222300,46.19,
2/10/14,46.81,46.95,46.18,46.91,12412500,45.9,
2/7/14,46.89,46.98,46.58,46.81,13375500,45.8,
2/6/14,46.62,46.88,46.38,46.68,17564000,45.67,
2/5/14,46.73,46.9,46.31,46.69,19731700,45.68,
2/4/14,46.29,46.83,46.11,46.82,22706300,45.81,
2/3/14,48.02,48.02,46.22,46.41,36115400,45.41,
1/31/14,47.1,48.5,47.02,48.02,18536600,46.99,
1/30/14,47.77,48.09,47.55,47.63,14441900,46.6,
1/29/14,47,47.98,46.69,47.69,24965700,46.66,
1/28/14,47.67,47.87,47.33,47.36,16345400,46.34,
1/27/14,47.71,48.36,47.41,47.69,21418600,46.66,
1/24/14,47.61,48.51,47.51,47.63,25665600,46.6,
1/23/14,47.06,47.86,46.94,47.86,22638200,46.83,
1/22/14,47.44,47.52,47.09,47.33,17975700,46.31,
1/21/14,48.84,48.9,46.76,47.7,33165500,46.67,
1/17/14,48.66,48.69,48,48.35,15988600,47.31,
1/16/14,48.26,48.66,47.95,48.53,14193200,47.48,
