Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,214.88,215.75,212.75,214.04,2177700,214.04,Visa Inc
9/11/14,216.7,216.75,214.45,214.95,2215300,214.95,
9/10/14,214.07,218.65,214.04,216.88,3161700,216.88,
9/9/14,215.29,215.47,214,214.28,1832200,214.28,
9/8/14,214.01,216.22,213.5,215.77,2566600,215.77,
9/5/14,214.36,214.37,213.1,214.21,2050700,214.21,
9/4/14,215.44,216.12,214,214.26,2373100,214.26,
9/3/14,215.07,216.16,214.31,214.9,1947100,214.9,
9/2/14,213.41,214.97,212.71,214.73,2016600,214.73,
8/29/14,214.56,215,212.1,212.52,3661500,212.52,
8/28/14,215,215.74,213.77,214.6,2747200,214.6,
8/27/14,217.12,217.53,215.29,217.13,1990200,217.13,
8/26/14,216.49,218,216.18,216.73,1724500,216.73,
8/25/14,217.2,217.32,215.85,216.02,1240600,216.02,
8/22/14,216.2,216.95,215.3,216.09,1786400,216.09,
8/21/14,216.5,216.97,215.71,215.75,1386000,215.75,
8/20/14,214.58,216.44,214.43,216.2,1824200,216.2,
8/19/14,214.75,215.69,214.13,215,2053100,215,
8/18/14,211.49,214.43,211.27,214.32,2088100,214.32,
8/15/14,212.89,213.32,209.93,210.19,2249900,210.19,
8/14/14,212.09,212.59,211.31,212.52,1784200,212.52,
8/13/14,210.95,212.1,210.46,211.43,1614500,211.43,
8/12/14,210.09,211.2,209.45,210.3,1610500,209.9,
8/11/14,211.04,211.22,210.03,210.58,2254600,210.18,
8/8/14,208.88,210.55,208.21,210.46,2314200,210.06,
8/7/14,211.18,211.45,208.6,209.04,2392000,208.64,
8/6/14,209.98,211.38,209.81,210.69,1882100,210.29,
8/5/14,211.5,212.39,209.17,210.54,2787800,210.14,
8/4/14,212.85,213.17,211.52,212.16,2019900,211.76,
8/1/14,209.87,213.06,209.78,211.81,3525000,211.41,
7/31/14,213.27,213.36,211.01,211.01,3468500,210.61,
7/30/14,213.49,214.79,213.45,214.06,2605700,213.65,
7/29/14,214.4,215.71,213.33,213.5,2644300,213.09,
7/28/14,214.42,214.96,213.12,214.22,2600400,213.81,
7/25/14,214.1,216.7,211.34,214.77,6882600,214.36,
7/24/14,223.39,223.85,221.83,222.74,2986900,222.32,
7/23/14,221.49,222.54,220.68,221.2,2047300,220.78,
7/22/14,220.92,222.59,220.61,221.26,1924800,220.84,
7/21/14,219.53,220.13,218.51,219.22,1542100,218.8,
7/18/14,219.18,221.89,218.92,220.2,2767000,219.78,
7/17/14,221.94,222,217.83,217.88,2451500,217.47,
7/16/14,222.94,223.16,221.08,222.67,2213300,222.25,
7/15/14,221.67,224.75,220.9,221.78,2725200,221.36,
7/14/14,218.75,222.36,217.65,221.03,3429100,220.61,
7/11/14,215.95,217.04,214.37,217,1424200,216.59,
7/10/14,213.8,216.89,212.68,215.54,2134200,215.13,
7/9/14,215.5,216.28,214.51,216.16,1294300,215.75,
7/8/14,216.77,216.89,213.15,215.26,3037300,214.85,
7/7/14,216.43,217.55,215.64,216.74,1653100,216.33,
7/3/14,215.31,217,215.1,216.51,1392900,216.1,
7/2/14,214.88,215.49,214.25,214.84,1442200,214.43,
7/1/14,211.95,215.35,211.83,214.25,2748400,213.84,
6/30/14,208.66,211.74,208.5,210.71,2490400,210.31,
6/27/14,208.1,209.9,207.86,209.28,3240300,208.88,
6/26/14,209.83,209.86,207.56,208.96,2145100,208.56,
6/25/14,207.31,210.49,207.31,209.06,2061200,208.66,
6/24/14,209.27,210.59,207.38,207.79,3272400,207.39,
6/23/14,209,209.81,208.18,209.47,3691300,209.07,
6/20/14,211.52,212.12,209.1,209.49,4589700,209.09,
6/19/14,211.47,212.16,208.02,210.32,3832800,209.92,
6/18/14,210.45,211.25,209.03,211.25,2581500,210.85,
6/17/14,210.14,211.92,209.9,210.81,1430600,210.41,
6/16/14,210.88,210.99,209.97,210.24,1974800,209.84,
6/13/14,211.87,212.07,210.85,211.29,1771300,210.89,
6/12/14,212.39,213.17,211.23,211.77,1554500,211.37,
6/11/14,212.99,213.91,212.12,212.68,1689500,212.28,
6/10/14,213,214.78,212.75,214.25,1708900,213.84,
6/9/14,213.49,213.99,211.63,212.58,1379100,212.18,
