Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,75.97,76.05,75.66,75.77,5652300,75.77,Wal-Mart Stores Inc
9/11/14,76.35,76.44,76.09,76.1,4953300,76.1,
9/10/14,76.79,77.08,76.37,76.51,6659900,76.51,
9/9/14,76.56,77,76.17,76.74,5616300,76.74,
9/8/14,77.13,77.32,76.43,76.53,5938900,76.53,
9/5/14,76.52,77.73,76.48,77.51,7841800,77.51,
9/4/14,76.16,76.6,76.11,76.56,5224000,76.56,
9/3/14,75.95,76.33,75.88,76.01,4647100,76.01,
9/2/14,75.42,75.94,75.41,75.75,4507800,75.75,
8/29/14,75.75,75.88,75.29,75.5,5041700,75.5,
8/28/14,75.47,75.94,75.47,75.9,2923700,75.9,
8/27/14,75.51,75.86,75.44,75.85,3174600,75.85,
8/26/14,75.83,76.15,75.44,75.52,4206400,75.52,
8/25/14,75.93,76.02,75.51,75.69,3383300,75.69,
8/22/14,75.78,76.2,75.64,75.73,4112700,75.73,
8/21/14,75.06,75.91,75,75.55,5236800,75.55,
8/20/14,74.83,75.05,74.51,74.96,4898300,74.96,
8/19/14,74.81,74.94,74.14,74.88,5047900,74.88,
8/18/14,74.15,74.68,74.05,74.49,4015700,74.49,
8/15/14,74.65,74.65,73.49,73.9,6942700,73.9,
8/14/14,73.89,74.43,73.61,74.39,6136300,74.39,
8/13/14,74.27,74.41,73.51,74.03,6619100,74.03,
8/12/14,74.31,74.44,74.01,74.22,3928200,74.22,
8/11/14,74.29,74.6,74.02,74.36,4721400,74.36,
8/8/14,74.06,74.73,73.85,74.67,4996300,74.67,
8/7/14,74.34,74.81,73.76,73.95,7049000,73.95,
8/6/14,73.19,74.29,73.18,74.2,7934800,74.2,
8/5/14,73.31,73.52,72.77,73.34,10579900,72.86,
8/4/14,73.38,73.63,73.06,73.54,5402100,73.06,
8/1/14,73.32,73.88,73.22,73.54,8223900,73.06,
7/31/14,73.99,74.25,73.54,73.58,9631600,73.1,
7/30/14,75.88,75.92,74.67,74.78,9977200,74.29,
7/29/14,75.21,76.01,75.15,75.44,6293500,74.95,
7/28/14,75.43,75.93,75.36,75.71,5509900,75.21,
7/25/14,76.19,76.36,75.8,75.97,3948400,75.47,
7/24/14,76.68,76.79,76.19,76.35,7228300,75.85,
7/23/14,76.63,77.06,76.59,76.99,3994300,76.49,
7/22/14,76.84,76.89,76.4,76.64,4383200,76.14,
7/21/14,76.76,76.91,76.48,76.77,3457600,76.27,
7/18/14,76.62,77.1,76.51,77.09,4913300,76.59,
7/17/14,76.58,77.05,76.44,76.61,4630300,76.11,
7/16/14,76.9,77.05,76.7,76.86,3743500,76.36,
7/15/14,76.56,76.93,76.56,76.84,4656900,76.34,
7/14/14,77.13,77.25,76.48,76.55,4822900,76.05,
7/11/14,76.87,76.97,76.56,76.82,4547500,76.32,
7/10/14,76.91,77.57,76.91,77.06,5372500,76.56,
7/9/14,76.77,77.33,76.62,77.21,6240100,76.7,
7/8/14,76.09,76.98,76.03,76.65,7960500,76.15,
7/7/14,75.69,76.21,75.55,76.07,5028000,75.57,
7/3/14,75.61,76.05,75.52,75.75,2874000,75.25,
7/2/14,75.26,75.9,75.25,75.62,4366800,75.13,
7/1/14,75.27,75.42,74.75,75.28,6604500,74.79,
6/30/14,75.4,75.69,74.94,75.07,6666600,74.58,
6/27/14,74.8,75.38,74.67,75.34,13960800,74.85,
6/26/14,75.52,75.61,74.7,74.91,6922100,74.42,
6/25/14,75.76,75.84,75.28,75.62,4318200,75.13,
6/24/14,76.03,76.21,75.68,75.97,5652300,75.47,
6/23/14,75.56,75.94,75.3,75.79,4267400,75.29,
6/20/14,76.16,76.17,75.12,75.68,11330700,75.18,
6/19/14,75.88,76.28,75.8,75.87,5255300,75.37,
6/18/14,75.04,75.96,74.92,75.7,6740700,75.2,
6/17/14,75.29,75.42,74.92,74.99,6544200,74.5,
6/16/14,75.11,75.48,75.02,75.34,3846900,74.85,
6/13/14,75.67,75.76,75.12,75.28,4981500,74.79,
6/12/14,76.05,76.19,75.58,75.73,5336600,75.23,
6/11/14,76.55,76.74,76.05,76.16,4463300,75.66,
6/10/14,76.81,76.94,76.51,76.62,3365700,76.12,
6/9/14,77.07,77.76,76.7,77.01,5547600,76.51,
6/6/14,77.46,77.59,77.07,77.21,4188900,76.7,
6/5/14,77.05,77.44,76.87,77.32,4695800,76.81,
6/4/14,76.6,77.3,76.53,77.13,6199900,76.63,
6/3/14,76.74,76.97,76.36,76.71,7213600,76.21,
6/2/14,76.58,77.11,76.47,76.76,4390400,76.26,
5/30/14,76.06,76.81,76.01,76.77,5964800,76.27,
5/29/14,75.67,76.19,75.57,75.98,4003500,75.48,
5/28/14,75.38,75.94,75.34,75.53,5036900,75.04,
5/27/14,75.71,75.81,75.29,75.59,5370800,75.1,
5/23/14,75.56,75.75,75.43,75.61,3703600,75.12,
5/22/14,75.79,75.92,75.24,75.39,5243700,74.9,
5/21/14,75.94,75.96,75.27,75.66,5704100,75.16,
5/20/14,76.36,76.37,75.52,75.69,7436700,75.19,
5/19/14,77.11,77.13,76.5,76.61,6131300,76.11,
5/16/14,77,77.38,76.65,77.01,7243800,76.51,
5/15/14,76.28,77.44,76.25,76.83,13035800,76.33,
5/14/14,79.05,79.05,78.07,78.74,5608300,78.22,
5/13/14,79.17,79.37,78.99,79.14,4363700,78.62,
5/12/14,78.95,79.23,78.65,79.15,5999800,78.63,
5/9/14,78.52,79.28,78.52,79.2,4896400,78.68,
5/8/14,78,78.83,78,78.69,4820600,78.17,
5/7/14,77.85,78.1,77.53,77.96,6086200,77.45,
5/6/14,78.33,78.39,77.97,78.01,5638900,77.02,
5/5/14,78.86,78.95,78.51,78.62,4591000,77.62,
5/2/14,79.6,79.76,79.01,79.12,5620000,78.12,
5/1/14,79.73,79.73,79.16,79.7,5098000,78.69,
4/30/14,79.59,79.93,79.51,79.71,6111700,78.7,
4/29/14,79.84,79.87,79.57,79.67,4695700,78.66,
4/28/14,78.86,79.99,78.83,79.76,9598700,78.75,
4/25/14,78.31,78.78,78.02,78.62,5392600,77.62,
4/24/14,78.17,78.47,77.7,78.31,4347500,77.32,
4/23/14,77.82,78.28,77.57,78.04,5806200,77.05,
4/22/14,77.52,77.83,77.39,77.56,6465500,76.58,
4/21/14,77.41,77.73,77.18,77.6,4595100,76.62,
4/17/14,77.08,77.75,77.08,77.66,6964700,76.68,
4/16/14,77.31,77.47,77.03,77.22,5036800,76.24,
4/15/14,77.03,77.31,76.44,76.88,6928600,75.91,
4/14/14,76.94,77.55,76.79,77.38,5375900,76.4,
4/11/14,76.78,77.23,76.29,76.5,7979000,75.53,
