Date,Open,High,Low,Close,Volume,Adj Close,Company
9/12/14,90.1,90.2,89.25,89.67,3870200,89.67,Walt Disney Co
9/11/14,89.2,90.04,89.06,89.97,4065500,89.97,
9/10/14,89.54,89.82,88.75,89.52,5053300,89.52,
9/9/14,90.5,90.54,89.51,89.6,4771000,89.6,
9/8/14,90.76,90.84,90.16,90.56,4310500,90.56,
9/5/14,90.14,90.94,90.1,90.94,4597100,90.94,
9/4/14,90.87,91.2,90.01,90.14,5418500,90.14,
9/3/14,91.06,91.16,90.67,90.94,3667600,90.94,
9/2/14,90.18,90.93,90.15,90.8,5567300,90.8,
8/29/14,90.32,90.38,89.33,89.88,4168500,89.88,
8/28/14,89.98,90.49,89.96,90.23,2667200,90.23,
8/27/14,90.14,90.41,89.98,90.37,3728300,90.37,
8/26/14,90.61,90.67,89.94,90.02,4104300,90.02,
8/25/14,90.95,91.14,90.3,90.38,3501400,90.38,
8/22/14,90.13,90.9,90.12,90.49,4756400,90.49,
8/21/14,90.06,90.53,89.98,90.38,4688600,90.38,
8/20/14,89.92,90.05,89.67,89.84,3870900,89.84,
8/19/14,90.13,90.29,89.64,90.09,4142900,90.09,
8/18/14,89.66,90.37,89.58,89.97,4973300,89.97,
8/15/14,89.02,89.47,88.69,89.28,8211000,89.28,
8/14/14,88.03,88.91,87.81,88.61,8218000,88.61,
8/13/14,87.74,87.95,87.42,87.6,4532300,87.6,
8/12/14,87.15,87.62,86.78,87.21,4510100,87.21,
8/11/14,87.07,87.98,87.05,87.5,5047900,87.5,
8/8/14,85.65,86.89,85.62,86.85,6382700,86.85,
8/7/14,86.99,87.01,85.23,85.51,7916900,85.51,
8/6/14,86.18,87.62,86.17,86.59,9789500,86.59,
8/5/14,87.14,87.24,86.02,86.75,9361800,86.75,
8/4/14,86.17,87.52,86.01,87.24,8262700,87.24,
8/1/14,85.39,86.01,85.21,85.38,6759200,85.38,
7/31/14,86.59,86.95,85.69,85.88,6342400,85.88,
7/30/14,86.62,87.27,86.09,87.21,7294200,87.21,
7/29/14,87.29,87.3,86.16,86.2,5478700,86.2,
7/28/14,86.43,87.22,85.81,87.15,4546800,87.15,
7/25/14,86.3,86.7,86.05,86.23,4659800,86.23,
7/24/14,86.5,86.96,86.31,86.8,4168200,86.8,
7/23/14,86.31,86.53,85.76,86.04,3650200,86.04,
7/22/14,86.37,86.56,85.51,86.21,4984200,86.21,
7/21/14,85.81,86,85.5,85.74,4799800,85.74,
7/18/14,85.44,85.98,85.17,85.81,4719100,85.81,
7/17/14,85.33,86.19,84.87,85.03,6885900,85.03,
7/16/14,86.69,87.63,85.12,85.35,10679300,85.35,
7/15/14,86.58,86.65,85.54,86.15,7001300,86.15,
7/14/14,87.46,87.49,86.66,86.76,4012300,86.76,
7/11/14,87,87.36,86.37,86.89,5016000,86.89,
7/10/14,86.53,87.61,86.19,86.86,7249700,86.86,
7/9/14,86,87.29,85.85,87.22,6311200,87.22,
7/8/14,86.19,86.32,85.68,85.86,4733600,85.86,
7/7/14,86.61,86.82,86.32,86.59,4897800,86.59,
7/3/14,86.7,86.98,86.5,86.84,3210400,86.84,
7/2/14,86.58,86.71,86.2,86.44,4439600,86.44,
7/1/14,85.81,86.87,85.76,86.47,5608200,86.47,
6/30/14,85.44,86.07,85.07,85.74,6991400,85.74,
6/27/14,84.13,85.39,84.13,85.3,17932200,85.3,
6/26/14,84.68,84.68,83.77,84.45,6424000,84.45,
6/25/14,82.67,84.32,82.48,83.9,7899200,83.9,
6/24/14,82.68,83.57,82.49,82.68,5057100,82.68,
6/23/14,82.85,82.93,82.32,82.76,3946600,82.76,
6/20/14,84.07,84.08,82.79,82.82,11073400,82.82,
6/19/14,83.65,83.92,83.25,83.77,4326900,83.77,
6/18/14,83.18,83.75,82.81,83.58,4536300,83.58,
6/17/14,82.98,83.46,82.61,83.16,4535900,83.16,
6/16/14,82.64,83.44,82.56,83.3,5181100,83.3,
6/13/14,82.75,82.99,81.8,82.8,4711100,82.8,
6/12/14,84.03,84.2,82.6,82.8,7231400,82.8,
6/11/14,84.6,84.81,84.17,84.31,4300900,84.31,
6/10/14,85.4,85.4,84.7,84.75,4632600,84.75,
6/9/14,84.6,85.86,84.53,85.48,5667600,85.48,
6/6/14,84.91,84.99,84.27,84.61,5302800,84.61,
6/5/14,84.37,84.95,83.9,84.78,5956000,84.78,
6/4/14,83.85,84.4,83.31,84.24,5800100,84.24,
6/3/14,84.07,84.23,83.72,83.88,4541400,83.88,
6/2/14,84.27,84.42,84.01,84.27,3933800,84.27,
5/30/14,83.81,84.39,83.62,84.01,6352400,84.01,
5/29/14,83.92,84.09,83.43,84.03,6522000,84.03,
5/28/14,83.8,83.9,83.25,83.6,4652100,83.6,
5/27/14,83.56,83.98,83.32,83.74,5197700,83.74,
5/23/14,82.19,83.36,82.19,83.32,4580300,83.32,
5/22/14,82.19,82.79,82.04,82.35,4652000,82.35,
5/21/14,81.42,82.34,81.42,82.19,4736400,82.19,
5/20/14,80.94,81.76,80.52,81.09,6023200,81.09,
5/19/14,80.43,81.38,80.14,81.05,4896900,81.05,
5/16/14,80.17,80.42,79.34,80.39,5823700,80.39,
5/15/14,80.64,80.83,79.21,80.15,7687700,80.15,
5/14/14,81.77,82.18,80.63,80.92,6192000,80.92,
5/13/14,82.43,82.75,81.75,82.08,5274700,82.08,
5/12/14,82.08,82.94,82.08,82.42,5704400,82.42,
5/9/14,81.27,82.02,80.9,81.95,5376600,81.95,
5/8/14,80.21,82.27,80.07,81.6,9257700,81.6,
5/7/14,81.65,82.44,80.12,80.29,11906800,80.29,
5/6/14,81.59,81.63,80.8,81.03,10696500,81.03,
5/5/14,80.42,81.31,79.8,81.22,5669800,81.22,
5/2/14,79.62,80.55,79.62,80.31,7599300,80.31,
5/1/14,79.35,79.87,79.26,79.56,6486800,79.56,
4/30/14,78.5,79.53,78.18,79.34,6550200,79.34,
4/29/14,78.35,78.68,77.74,78.64,4608700,78.64,
4/28/14,78.76,79.06,76.88,77.78,7522700,77.78,
4/25/14,79.46,79.46,78.16,78.23,6193300,78.23,
